Residuals	lipocalin2_pg_ml_scaled	number_of_pups_scaled	weight_grams_scaled	genotype
GO:0005997|[BP] xylulose metabolic process	0.797348999615698	0.097659231946505	0.0773733118558918	0.0276184565819055	0
GO:0006002|[BP] fructose 6-phosphate metabolic process	0.927442489362216	0.0180650442307928	0.0469385080102451	0.00755395839674614	0
GO:0006004|[BP] fucose metabolic process	0.912281143762703	0.0572276368261808	0.0185034064427516	0.0119878129683651	0
GO:0006006|[BP] glucose metabolic process	0.755598975354648	0.000285179983772625	0.0824432344636374	0.0767471510781286	0.0849254591198136
GO:0006007|[BP] glucose catabolic process	0.925524900441051	0.00938107731468101	0.0646616610251727	0.000432361219095165	0
GO:0006011|[BP] UDP-glucose metabolic process	0.77446889994116	0.1082839300359	0.107300293752757	0.00994687627018346	0
GO:0006012|[BP] galactose metabolic process	0.879443028939693	0.0670830049134758	0.0382456461178676	0.00167599413339659	0.0135523258955671
GO:0006013|[BP] mannose metabolic process	0.966333735245302	0.0211548607584217	0.00137082460806141	0.0111405793882154	0
GO:0006014|[BP] D-ribose metabolic process	0.849882163170563	0.0170365199765254	0.0113542029651519	0.08054580233355	0.0411813115542102
GO:0006015|[BP] 5-phosphoribose 1-diphosphate biosynthetic process	0.780528070473308	0.176066039514881	0.0125356691504449	0.0308702208613662	0
GO:0006021|[BP] inositol biosynthetic process	0.792895296813725	0.10075347857983	0.106318271157077	3.29534493690482e-05	0
GO:0006032|[BP] chitin catabolic process	0.780086502137224	0.116112754585345	0.0898627204846363	0.0139380227927949	0
GO:0006040|[BP] amino sugar metabolic process	0.758107855811553	0.157209963922989	0.0830082633348256	0.00167391693063274	0
GO:0006044|[BP] N-acetylglucosamine metabolic process	0.767179312530625	0.0350356176030045	0.00937708472907889	0.158023642683922	0.0303843424533699
GO:0006047|[BP] UDP-N-acetylglucosamine metabolic process	0.918872301433334	0.0167581549705907	0.0208327065407424	0.0435368370553333	0
GO:0006048|[BP] UDP-N-acetylglucosamine biosynthetic process	0.850049822840606	0.0674029189959051	0.00847627509532676	0.037084092002509	0.0369868910656531
GO:0006051|[BP] N-acetylmannosamine metabolic process	0.877596931763531	0.0591066180884245	0.0159219943472539	0.0321409214741929	0.0152335343265977
GO:0006064|[BP] glucuronate catabolic process	0.827557533555807	0.0163505598370858	0.0797648046010647	0.0763271020060425	0
GO:0006066|[BP] alcohol metabolic process	0.903404524373083	0.000283992741377266	0.0102371227793781	0.0132432587326482	0.0728311013735139
GO:0006071|[BP] glycerol metabolic process	0.826728283244867	0.0999168606506661	0.0690060808119501	0.00434877529251672	0
GO:0006072|[BP] glycerol-3-phosphate metabolic process	0.624439722843253	0.167287556938862	0.190364270277971	0.017908449939914	0
GO:0006080|[BP] substituted mannan metabolic process	0.791179222523565	0.00118779503799921	0.00152746406690587	0.044385410399782	0.161720107971748
GO:0006081|[BP] cellular aldehyde metabolic process	0.782271011942776	0.155389982625143	0.0623257675025822	1.32379294983268e-05	0
GO:0006082|[BP] organic acid metabolic process	0.907296029316018	0.0110475302528967	0.0320471346666095	0.0496093057644762	0
GO:0006084|[BP] acetyl-CoA metabolic process	0.952483661685962	0.0329047257466677	0.0125719959486124	0.00203961661875761	0
GO:0006085|[BP] acetyl-CoA biosynthetic process	0.900361667448887	0.0246805496075854	0.0258176225717268	0.0491401603718011	0
GO:0006090|[BP] pyruvate metabolic process	0.914141737528203	0.0432553601801165	0.040207836778772	0.00239506551290861	0
GO:0006091|[BP] generation of precursor metabolites and energy	0.672870675917104	0.116759316878981	0.109789381153881	0.100580626050034	0
GO:0006094|[BP] gluconeogenesis	0.893459427341707	7.06613304530778e-06	0.00725820117494639	0.0038267273926485	0.095448577957653
GO:0006096|[BP] glycolytic process	0.740177021265019	0.00584957893946737	0.00357434285335825	0.0192999954347977	0.231099061507358
GO:0006097|[BP] glyoxylate cycle	0.768611855569672	0.0891355603927929	0.120465202965748	0.0217873810717875	0
GO:0006098|[BP] pentose-phosphate shunt	0.747280763169068	0.000738262852970981	0.0306623433157496	9.70287116939089e-05	0.221221601950517
GO:0006099|[BP] tricarboxylic acid cycle	0.93777278425035	0.0321596356740705	0.0233080716780769	0.00047070413833812	0.00628880425916415
GO:0006102|[BP] isocitrate metabolic process	0.849975677242048	0.088552789753997	0.0549206145287229	0.00655091847523179	0
GO:0006106|[BP] fumarate metabolic process	0.81795387071657	0.141865777972069	0.0387476556895457	0.00143269562181467	0
GO:0006108|[BP] malate metabolic process	0.888323048786174	0.000685229873977034	0.000240641645205824	0.110751079694643	1.65784596679227e-16
GO:0006109|[BP] regulation of carbohydrate metabolic process	0.707786887025071	0.119393388371953	0.172451556666485	0.00036816793649169	0
GO:0006120|[BP] mitochondrial electron transport, NADH to ubiquinone	0.948455631474212	0.02524828371517	0.0239061188061796	0.00238996600443858	0
GO:0006139|[BP] nucleobase-containing compound metabolic process	0.88148055336482	0.0746897669486018	0.041520506023341	0.00230917366323678	0
GO:0006146|[BP] adenine catabolic process	0.99072798832628	0.00568501534923281	0.00339128135036353	0.00019571497412397	0
GO:0006147|[BP] guanine catabolic process	0.908520523890804	0.0678566419445785	0.0163400062127832	0.00728282795183393	0
GO:0006163|[BP] purine nucleotide metabolic process	0.650228747004312	0.00804944257316813	0.0114884097636983	0.0712054653193646	0.259027935339457
GO:0006164|[BP] purine nucleotide biosynthetic process	0.652941489993224	0.00359091282726949	0.0178161729331127	0.199899391135714	0.12575203311068
GO:0006166|[BP] purine ribonucleoside salvage	0.820644471985693	0.13655818838311	0.0268012532238776	0.00418076961329834	0.011815316794021
GO:0006168|[BP] adenine salvage	0.819668846328375	0.0517947883164853	0.0796808493246134	0.0488555160305262	0
GO:0006177|[BP] GMP biosynthetic process	0.948306388406515	0.0121480634054487	0.0181721063129828	0.0213734418750534	0
GO:0006183|[BP] GTP biosynthetic process	0.881016251208017	0.0107367860029654	0.0149772092843747	0.0932697535046428	0
GO:0006188|[BP] IMP biosynthetic process	0.891095301466932	0.0691938858060481	0.0359483085163728	0.00376250421064684	0
GO:0006189|[BP] de novo IMP biosynthetic process	0.712806278373553	0.102008636129468	0.105561151399179	0.00862128001249437	0.071002654085306
GO:0006206|[BP] pyrimidine nucleobase metabolic process	0.794608053133972	0.0460320928114353	0.135144555172571	0.0242152988820215	0
GO:0006207|[BP] de novo pyrimidine nucleobase biosynthetic process	0.806393735492323	0.0345945779460289	0.0940048399657538	0.00707580825606192	0.0579310383398324
GO:0006213|[BP] pyrimidine nucleoside metabolic process	0.794608053133972	0.0460320928114353	0.135144555172571	0.0242152988820215	0
GO:0006220|[BP] pyrimidine nucleotide metabolic process	0.750353034400801	0.0330059694504834	0.0483605975282576	0.106880715681281	0.0613996829391767
GO:0006221|[BP] pyrimidine nucleotide biosynthetic process	0.950686523078667	0.00238683268649711	0.0403170352469139	0.0066096089879221	0
GO:0006222|[BP] UMP biosynthetic process	0.740652251416468	0.197741529009697	0.0579673069915884	0.00363891258224686	0
GO:0006223|[BP] uracil salvage	0.892320953081616	0.106538970440192	0.000193301542492086	0.0009467749357003	0
GO:0006226|[BP] dUMP biosynthetic process	0.878739495354025	0.0250589877030145	0.0547029514090602	0.0414985655339002	0
GO:0006228|[BP] UTP biosynthetic process	0.881016251208017	0.0107367860029654	0.0149772092843747	0.0932697535046428	0
GO:0006229|[BP] dUTP biosynthetic process	0.829423701760099	0.084604709908473	0.0720524696918909	0.0139191186395373	0
GO:0006231|[BP] dTMP biosynthetic process	0.777203713130515	0.00485027346108463	0.0650098163508595	0.152936197057541	0
GO:0006233|[BP] dTDP biosynthetic process	0.940192714910719	0.0568510847672271	0.000656253922960553	0.0022999463990933	0
GO:0006235|[BP] dTTP biosynthetic process	0.925533564182162	0.00362352585161546	0.00370477371206816	0.0105662746415118	0.0565718616126426
GO:0006241|[BP] CTP biosynthetic process	0.881016251208017	0.0107367860029654	0.0149772092843747	0.0932697535046428	0
GO:0006259|[BP] DNA metabolic process	0.865366977630371	0.0352247616600972	0.0159356343312262	0.0834726263783059	0
GO:0006260|[BP] DNA replication	0.78061868508364	0.110026648972751	0.0500388120016952	0.0173887612469257	0.0419270926949878
GO:0006261|[BP] DNA-dependent DNA replication	0.885947654398645	0.0921613185191885	0.0180974636258681	0.00379356345629824	0
GO:0006265|[BP] DNA topological change	0.905716505714404	0.047241690209682	0.0176440851459353	0.029397718929979	0
GO:0006268|[BP] DNA unwinding involved in DNA replication	0.734412669974156	0.228968343851021	0.036618952566155	3.36086682810897e-08	0
GO:0006269|[BP] DNA replication, synthesis of RNA primer	0.860247425285756	0.0296781388954501	0.0401683530652943	0.00263508954167684	0.0672709932118226
GO:0006270|[BP] DNA replication initiation	0.97689990117778	0.00851556389562522	0.00247049964569826	0.012114035280897	0
GO:0006275|[BP] regulation of DNA replication	0.720124874352144	0.00467842644365484	0.0401403620283281	0.0122692608431546	0.222787076332719
GO:0006281|[BP] DNA repair	0.717618953554623	0.0784140470122973	0.0476934430332531	0.0386986639543769	0.11757489244545
GO:0006282|[BP] regulation of DNA repair	0.642248252872075	0.21463191526726	0.0728306167881724	0.0702892150724925	0
GO:0006284|[BP] base-excision repair	0.759034190760685	0.0397889203114758	0.0951085320269904	0.000231564910961616	0.105836791989887
GO:0006289|[BP] nucleotide-excision repair	0.68351766353346	0.00267776991586462	0.0710705714588794	0.00816225631386753	0.234571738777928
GO:0006298|[BP] mismatch repair	0.890214339252549	0.0161155203366324	0.000327232869895626	0.0933429075409231	0
GO:0006302|[BP] double-strand break repair	0.941111085455501	0.0368501483442886	0.010166382441391	0.0118723837588196	0
GO:0006303|[BP] double-strand break repair via nonhomologous end joining	0.879125818700514	0.00597655878793856	0.00279657296120847	0.112101049550339	0
GO:0006304|[BP] DNA modification	0.865972904577826	0.103353314054017	0.0218756777886835	0.00879810357947284	0
GO:0006306|[BP] DNA methylation	0.80257729306473	0.102247307581041	0.052555912146717	0.0426194872075123	0
GO:0006307|[BP] DNA dealkylation involved in DNA repair	0.6905299338522	0.131359944072194	0.167783388705986	0.0103267333696206	0
GO:0006308|[BP] DNA catabolic process	0.61286893350317	0.175575254795384	0.16124231445932	7.16291417593254e-06	0.0503063343279491
GO:0006310|[BP] DNA recombination	0.89624908707801	0.0827431384498537	0.0100963530307855	0.0109114214413506	0
GO:0006313|[BP] transposition, DNA-mediated	0.95040910416841	0.0465421161599194	0.0017777566468026	0.00127102302486769	0
GO:0006323|[BP] DNA packaging	0.916487565948524	0.0688076143270154	0.00046144063511642	0.0142433790893441	0
GO:0006351|[BP] transcription, DNA-templated	0.81644653553977	0.129387585534271	0.052905249994533	0.00126062893142598	0
GO:0006352|[BP] DNA-templated transcription, initiation	0.859759690639696	0.110367802235601	0.0293789338782678	0.000493573246435719	0
GO:0006353|[BP] DNA-templated transcription, termination	0.721281480090608	0.0020027655620262	0.0956224115889376	0.0237359476479284	0.1573573951105
GO:0006354|[BP] DNA-templated transcription, elongation	0.845685834585585	0.014644393658865	0.0431944190805936	0.0964753526749569	0
GO:0006355|[BP] regulation of transcription, DNA-templated	0.812427497035212	0.128977077045846	0.0585924517347488	2.97418419358873e-06	0
GO:0006364|[BP] rRNA processing	0.748607387978929	0.0571149198804435	0.0867649714354844	0.0260958616127356	0.0814168590924079
GO:0006388|[BP] tRNA splicing, via endonucleolytic cleavage and ligation	0.930067415788084	0.0424766792143573	8.30399743035292e-08	0.0274558219575839	0
GO:0006396|[BP] RNA processing	0.761651186934933	0.0421020631749881	0.00245380363419063	0.193792946255888	0
GO:0006397|[BP] mRNA processing	0.965388437954711	0.0274161923959409	0.0056649718026332	0.00153039784671474	1.96429922262063e-19
GO:0006400|[BP] tRNA modification	0.661788094681149	0.00637413257994716	0.0399538045703342	0.0547048200871905	0.237179148081379
GO:0006401|[BP] RNA catabolic process	0.678926043587717	0.0407567911770165	0.152106372965639	0.0442040389287086	0.0840067533409187
GO:0006402|[BP] mRNA catabolic process	0.916415237297804	0.0438469884170315	0.0373469994118464	0.00239077487331759	0
GO:0006412|[BP] translation	0.828537990580419	0.0019653945105113	0.0105226777563702	0.000149227626698297	0.158824709526001
GO:0006413|[BP] translational initiation	0.896641948388346	0.0675219697758883	0.0330595210617403	0.002776560774025	0
GO:0006414|[BP] translational elongation	0.928879921530004	0.0378785807819201	0.0332389726103954	2.52507768073326e-06	0
GO:0006415|[BP] translational termination	0.847786152946464	0.00464528821225848	0.049750662880356	0.0015715901162344	0.096246305844687
GO:0006417|[BP] regulation of translation	0.882030778169806	0.0643543285560973	0.0210705643342105	0.0325443289398861	0
GO:0006418|[BP] tRNA aminoacylation for protein translation	0.74526207158869	0.0203712090614711	0.0394203320776885	0.0613817632275354	0.133564624044615
GO:0006419|[BP] alanyl-tRNA aminoacylation	0.927375973055769	0.00562628382474327	0.0311009158953875	0.0140170773617266	0.0218797498623733
GO:0006420|[BP] arginyl-tRNA aminoacylation	0.724233646455504	0.0521978322664552	0.140979945306761	0.027644262454765	0.0549443135165154
GO:0006421|[BP] asparaginyl-tRNA aminoacylation	0.946773323490697	0.0102100502829763	0.000355341221114804	0.0426612850052116	0
GO:0006422|[BP] aspartyl-tRNA aminoacylation	0.993393579226741	0.00471154854053964	0.00110487275614796	0.00078999947657148	0
GO:0006423|[BP] cysteinyl-tRNA aminoacylation	0.916775596332679	0.000562568022922606	0.00112876144813392	0.0287110954768058	0.0528219787194588
GO:0006424|[BP] glutamyl-tRNA aminoacylation	0.868274335027481	0.0183812618233483	0.0232522384571612	0.0185430406018279	0.0715491240901812
GO:0006425|[BP] glutaminyl-tRNA aminoacylation	0.955911614639758	0.00756057747773069	0.0334959947018776	0.00303181318063422	0
GO:0006426|[BP] glycyl-tRNA aminoacylation	0.948509610290431	0.0113691641112869	0.0124785802426104	0.0276426453556719	0
GO:0006427|[BP] histidyl-tRNA aminoacylation	0.739003724997974	0.00384890324848225	0.0641053582337962	0.0533736806794322	0.139668332840315
GO:0006428|[BP] isoleucyl-tRNA aminoacylation	0.705489364618448	0.0248639102151583	0.0849152856620527	0.0059334242411321	0.178798015263209
GO:0006429|[BP] leucyl-tRNA aminoacylation	0.846499165793329	0.0181323219917799	1.60467651821055e-05	0.0539765331106382	0.081375932339071
GO:0006430|[BP] lysyl-tRNA aminoacylation	0.928440540207601	0.00120204154691563	0.0554149058180403	0.0149425124274427	0
GO:0006431|[BP] methionyl-tRNA aminoacylation	0.785174224733926	0.06029039618824	0.14804061028285	0.00649476879498374	0
GO:0006432|[BP] phenylalanyl-tRNA aminoacylation	0.701291459693902	0.0667490624054491	0.0640117564283589	0.0196477142951613	0.148300007177129
GO:0006433|[BP] prolyl-tRNA aminoacylation	0.849803778146486	0.0146667736057455	0.100705943593057	0.0279130654231994	0.00691043923151183
GO:0006434|[BP] seryl-tRNA aminoacylation	0.814885429628259	0.0205283336930907	0.0403268378337612	0.0149451428034168	0.109314256041472
GO:0006435|[BP] threonyl-tRNA aminoacylation	0.917056004991186	0.0107088560373203	0.0106033600416775	0.0616317789298164	0
GO:0006436|[BP] tryptophanyl-tRNA aminoacylation	0.697023009682083	0.0583919017805388	0.00357985740129636	0.06673662895035	0.174268602185732
GO:0006437|[BP] tyrosyl-tRNA aminoacylation	0.634210951069355	0.000134444164041024	0.064874171794512	0.00948807656953013	0.291292356402562
GO:0006438|[BP] valyl-tRNA aminoacylation	0.743364618743604	0.0560906407810414	0.0231098485121223	0.0697209661889539	0.107713925774279
GO:0006449|[BP] regulation of translational termination	0.96107247714758	0.00548552208169696	0.00172152026014058	0.0317204805105822	0
GO:0006450|[BP] regulation of translational fidelity	0.677487144815694	0.133030079619358	0.15901006305421	0.00552438248452675	0.0249483300262116
GO:0006457|[BP] protein folding	0.73327686221936	0.0755445911696867	0.0551067639575051	0.000391725346554209	0.135680057306894
GO:0006461|[BP] protein complex assembly	0.916339346691434	0.0535752367041087	0.0022476651499781	0.0278377514544787	0
GO:0006464|[BP] cellular protein modification process	0.945796168310064	0.0335689083760577	0.00335541402340788	0.0172795092904702	0
GO:0006465|[BP] signal peptide processing	0.536680158111199	0.0172964945301223	0.338864820739045	0.045656251752064	0.0615022748675694
GO:0006470|[BP] protein dephosphorylation	0.903141336339827	0.00157565881681098	0.0643384335624292	0.0309445712809326	0
GO:0006474|[BP] N-terminal protein amino acid acetylation	0.730190534549696	0.142702640301398	0.0851060436534855	0.0420007814954203	0
GO:0006486|[BP] protein glycosylation	0.77734371661789	0.131153486847026	0.0394403430227852	0.0520624535122987	0
GO:0006487|[BP] protein N-linked glycosylation	0.819258907477301	0.0188455350662309	0.00139502691009252	0.160500530546376	0
GO:0006505|[BP] GPI anchor metabolic process	0.936825194777374	0.0282009161993018	0.0201484275296545	0.0148254614936692	0
GO:0006508|[BP] proteolysis	0.925507191834951	0.0230391403362742	0.00336015880999093	0.0326452696329741	0.0154482393858092
GO:0006515|[BP] misfolded or incompletely synthesized protein catabolic process	0.712421309640882	0.0743929898570839	0.206745944591215	0.00643975591081879	0
GO:0006518|[BP] peptide metabolic process	0.901671547324003	0.047878764224463	0.00458168674319444	0.0458680017083398	0
GO:0006520|[BP] cellular amino acid metabolic process	0.838833856120147	0.0532759126989987	0.106709690676133	0.00118054050472082	0
GO:0006522|[BP] alanine metabolic process	0.874441048346044	0.00234035274386122	0.0137274741735994	0.109491124736495	0
GO:0006523|[BP] alanine biosynthetic process	0.718183910678274	0.0254303700526995	0.0733523323882239	0.183033386880803	0
GO:0006525|[BP] arginine metabolic process	0.85879410000331	0.0182454974915118	0.122890607011527	6.97954936510245e-05	0
GO:0006526|[BP] arginine biosynthetic process	0.773120045735854	0.109259604988787	0.108725444879448	0.00889490439591133	0
GO:0006527|[BP] arginine catabolic process	0.821638192688005	0.143984460362035	0.0308542422811951	0.00352310466876449	0
GO:0006528|[BP] asparagine metabolic process	0.826798340737415	0.0144946942173536	0.14965778768641	0.00904917735882073	0
GO:0006529|[BP] asparagine biosynthetic process	0.916884777782535	0.0571957127067656	0.0114211898924269	0.0144983196182723	0
GO:0006531|[BP] aspartate metabolic process	0.801606974898649	0.0262124317369911	0.124364831286777	0.0478157620775823	0
GO:0006534|[BP] cysteine metabolic process	0.740282718225706	0.14598342019809	0.0168072144476957	0.0969266471285087	0
GO:0006535|[BP] cysteine biosynthetic process from serine	0.797979550835618	0.11261555288865	0.0682273303865557	0.0211775658891763	0
GO:0006536|[BP] glutamate metabolic process	0.806677659060353	0.0427526988814241	0.0895746373401426	0.00512251608657047	0.0558724886315099
GO:0006537|[BP] glutamate biosynthetic process	0.73879951643159	0.14785801032573	0.104684378144301	0.00865809509837902	0
GO:0006541|[BP] glutamine metabolic process	0.765485067590871	0.0928926391906982	0.0985776678272434	0.000213615634339576	0.0428310097568477
GO:0006542|[BP] glutamine biosynthetic process	0.819887671638148	0.0390101042585147	0.0654471275735517	0.0574055951503993	0.0182495013793864
GO:0006543|[BP] glutamine catabolic process	0.960626239591139	0.0335983962245347	0.00270400406701315	0.00307136011731304	0
GO:0006544|[BP] glycine metabolic process	0.855209151313596	0.0820159484370142	0.0502944325081515	0.0124804677412385	0
GO:0006545|[BP] glycine biosynthetic process	0.842882729390859	0.0760965558807893	0.0486744655393931	0.0323462491889589	0
GO:0006546|[BP] glycine catabolic process	0.828617197614423	0.046041672182376	0.007694554272882	0.117646575930319	0
GO:0006555|[BP] methionine metabolic process	0.926288734886444	5.10847613100883e-07	0.0167420461725008	0.0569687080934421	0
GO:0006556|[BP] S-adenosylmethionine biosynthetic process	0.911251294804745	0.00610706834157701	0.0408675982393309	0.00225189558332127	0.0395221430310255
GO:0006557|[BP] S-adenosylmethioninamine biosynthetic process	0.904373417252209	0.015962374446562	0.012613134984858	0.057102691923113	0.0099483813932578
GO:0006561|[BP] proline biosynthetic process	0.837664758004248	0.129216822212818	0.0175030041149316	0.0156154156680022	0
GO:0006563|[BP] L-serine metabolic process	0.78612264119579	0.0959676189217868	0.0832830869171328	0.0346266529652902	0
GO:0006564|[BP] L-serine biosynthetic process	0.823316266614031	0.00796634800463086	0.0264892962650853	0.142228089116253	0
GO:0006567|[BP] threonine catabolic process	0.734840218489133	0.224773549797748	0.0402282401945461	0.000157991518573366	0
GO:0006570|[BP] tyrosine metabolic process	0.770384274446005	0.131909264375503	0.0892452961396754	0.00846116503881636	0
GO:0006571|[BP] tyrosine biosynthetic process	0.629603841731115	0.106878596954024	0.259408452003706	0.00410910931115517	0
GO:0006576|[BP] cellular biogenic amine metabolic process	0.806687007760196	0.0652147838717031	0.125011320417981	0.00308688795012027	0
GO:0006580|[BP] ethanolamine metabolic process	0.875995394746578	0.077159007241591	0.0232527472386918	0.023592850773139	0
GO:0006596|[BP] polyamine biosynthetic process	0.943958663396659	0.0249191061462554	0.00592175664530291	0.0252004738117828	0
GO:0006601|[BP] creatine biosynthetic process	0.663580510988714	0.0460118398695576	0.29040563779057	2.01135115833135e-06	0
GO:0006602|[BP] creatinine catabolic process	0.663580510988714	0.0460118398695576	0.29040563779057	2.01135115833135e-06	0
GO:0006605|[BP] protein targeting	0.919530534022137	0.0672188301335917	0.00663781803194233	0.00661281781232906	0
GO:0006614|[BP] SRP-dependent cotranslational protein targeting to membrane	0.830355733373312	0.0380534712409565	0.0778224955581468	7.54804053530944e-05	0.053692819422232
GO:0006627|[BP] protein processing involved in protein targeting to mitochondrion	0.798181239016799	0.0719311501896069	0.0122722788034	0.117615331990194	0
GO:0006629|[BP] lipid metabolic process	0.881374361610704	0.0801888432806975	0.0171609039369667	0.0212758911716317	0
GO:0006631|[BP] fatty acid metabolic process	0.950251427067944	0.0282757686902225	0.0182769223489874	0.0031958818928458	0
GO:0006633|[BP] fatty acid biosynthetic process	0.813516441510869	0.0538541191329239	0.0284594204829449	0.000190537326820027	0.103979481546442
GO:0006646|[BP] phosphatidylethanolamine biosynthetic process	0.754912377126491	0.0209299808920035	0.212315520214649	0.0118421217668564	0
GO:0006650|[BP] glycerophospholipid metabolic process	0.72113464768761	0.000104857648610515	0.0149355395936647	0.00563252262753875	0.258192432442576
GO:0006655|[BP] phosphatidylglycerol biosynthetic process	0.929477265736173	0.00847253616089831	0.0338483508527448	0.0282018472501844	0
GO:0006662|[BP] glycerol ether metabolic process	0.810776921002189	0.057933381845062	0.108222445755748	0.0230672513970003	0
GO:0006665|[BP] sphingolipid metabolic process	0.829173941307156	0.0119855298049905	0.0189789197736487	0.139861609114204	0
GO:0006725|[BP] cellular aromatic compound metabolic process	0.697730766761164	0.213516230073254	0.0782142632290174	0.0105387399365647	0
GO:0006730|[BP] one-carbon metabolic process	0.801049310661545	0.0177740878542093	0.0771915840108682	0.00107806238318291	0.102906955090194
GO:0006741|[BP] NADP biosynthetic process	0.74197272508673	0.0112392424836017	0.00807937816890744	0.0122843085885925	0.226424345672168
GO:0006744|[BP] ubiquinone biosynthetic process	0.746807221195713	0.176187806522053	0.0769036715471462	0.000101300735087531	0
GO:0006747|[BP] FAD biosynthetic process	0.732963150498973	0.135316096185381	0.125033260007867	0.00668749330777863	0
GO:0006749|[BP] glutathione metabolic process	0.982837875092929	0.012959788594661	0.000374048885659784	0.00382828742675053	0
GO:0006750|[BP] glutathione biosynthetic process	0.900141037808251	0.0176986525971693	0.0197385574283009	0.0624217521662784	0
GO:0006754|[BP] ATP biosynthetic process	0.90210207799726	0.0046123206528232	0.00376100692544544	0.0895245944244713	0
GO:0006760|[BP] folic acid-containing compound metabolic process	0.962032069039183	0.00216026775016113	0.0241186667397079	0.011688996470948	0
GO:0006772|[BP] thiamine metabolic process	0.883315358225997	0.103606524141031	0.00664849624175538	0.00642962139121727	0
GO:0006777|[BP] Mo-molybdopterin cofactor biosynthetic process	0.861431127760837	0.0978423022898086	1.62026954593614e-05	0.040710367253895	0
GO:0006779|[BP] porphyrin-containing compound biosynthetic process	0.731218189338348	0.139977584953015	0.0994966277423904	0.0293075979662463	0
GO:0006782|[BP] protoporphyrinogen IX biosynthetic process	0.773064058732515	0.139277821005017	0.0562945774415586	0.0313635428209089	0
GO:0006783|[BP] heme biosynthetic process	0.905713385848598	0.0700200883267544	8.09419608406282e-05	0.0241855838638067	0
GO:0006790|[BP] sulfur compound metabolic process	0.881142384037401	0.000313691122292157	0.00430755580664809	0.114236369033659	0
GO:0006796|[BP] phosphate-containing compound metabolic process	0.912901594044316	0.0299471583551425	0.0163656595368319	0.0407855880637098	0
GO:0006797|[BP] polyphosphate metabolic process	0.87500656634984	0.0815160305190628	0.036457288503843	0.00702011462725423	0
GO:0006799|[BP] polyphosphate biosynthetic process	0.704776354648722	0.13032810589126	0.164725519184869	0.000170020275149654	0
GO:0006801|[BP] superoxide metabolic process	0.878302482823552	0.0750599783778667	0.0399303738955391	0.0067071649030421	0
GO:0006807|[BP] nitrogen compound metabolic process	0.836867428907897	0.0774926615668612	0.0355405344854757	0.0105849988872127	0.0395143761525538
GO:0006808|[BP] regulation of nitrogen utilization	0.884716601226756	0.082140384182778	0.00784364352657394	0.0252993710638924	0
GO:0006810|[BP] transport	0.812522871722624	0.1213064662493	0.0658263812107475	0.000344280817328579	0
GO:0006813|[BP] potassium ion transport	0.811475648482196	0.00182081814219565	0.119106428650902	0.00764893375192626	0.0599481709727803
GO:0006814|[BP] sodium ion transport	0.880393742655299	0.000241142051237681	0.0352165353960986	0.0841485798973652	0
GO:0006817|[BP] phosphate ion transport	0.931266384480743	0.0425166946346584	0.00588659989858074	0.0203303209860175	0
GO:0006824|[BP] cobalt ion transport	0.713029475638918	0.148513549838542	0.107854844956693	0.0306021295658463	0
GO:0006826|[BP] iron ion transport	0.998602240268549	0.000421229265784938	0.000355370500524094	0.00062115996514221	1.96149789776138e-20
GO:0006829|[BP] zinc II ion transport	0.595227073978651	0.013063184203866	0.00949578601606244	0.153182519195487	0.229031436605934
GO:0006857|[BP] oligopeptide transport	0.846477103701046	0.0486010143140791	0.00414457561927639	0.100777306365599	0
GO:0006865|[BP] amino acid transport	0.786582622085718	0.0546170112455815	0.0844319522102654	0.074368414458435	0
GO:0006878|[BP] cellular copper ion homeostasis	0.769564955197735	0.181035504331035	0.0314990635621594	0.0179004769090705	0
GO:0006879|[BP] cellular iron ion homeostasis	0.992500040062401	6.59664863339891e-05	0.0039400275878003	0.0034939658634649	0
GO:0006885|[BP] regulation of pH	0.973469282345289	0.0083553974686954	0.00506669909831218	0.0131086210877037	0
GO:0006886|[BP] intracellular protein transport	0.783084171219832	0.0121998435879408	0.00449904238917084	0.0128487766973138	0.187368166105742
GO:0006888|[BP] ER to Golgi vesicle-mediated transport	0.914091490971271	0.00270763353250955	0.00617243213091077	0.000834186082170871	0.0761942572831376
GO:0006935|[BP] chemotaxis	0.775812410488078	0.165861378182338	0.0576673338479957	0.000658877481588464	0
GO:0006950|[BP] response to stress	0.807152116333095	0.1071451353641	0.0820939429382076	0.00360880536459714	0
GO:0006979|[BP] response to oxidative stress	0.896853467249609	0.0592723817982131	0.0238199920961398	0.00973666055406967	0.0103174983019685
GO:0007016|[BP] cytoskeletal anchoring at plasma membrane	0.95850441764716	0.0256650792350192	4.22909355216619e-05	0.015788212182299	0
GO:0007017|[BP] microtubule-based process	0.913244427302614	0.00608704538972626	0.0665654104674032	0.0141031168402564	0
GO:0007049|[BP] cell cycle	0.760655473778703	0.0526406480523326	0.0805978373533878	0.00942611217534496	0.0966799286402314
GO:0007059|[BP] chromosome segregation	0.701480934522352	0.0826577967923292	0.202478734454084	0.0133825342312346	0
GO:0007062|[BP] sister chromatid cohesion	0.726979603466866	0.206809814644242	0.055991874067924	0.0102187078209677	0
GO:0007154|[BP] cell communication	0.946061501004763	0.00837925071071994	0.0423587050414526	0.00320054324306446	0
GO:0007155|[BP] cell adhesion	0.699849155977044	0.178492254080134	0.0703197620179608	0.0513388279248607	0
