Residuals	number_of_pups_scaled	lipocalin2_pg_ml_scaled	genotype	weight_grams_scaled
PWY-7883|anhydromuropeptides recycling II	0.497084906051116	1.89102022246057e-05	0.23024714786187	0.256880830264337	0.0157682056204519
PWY-7953|UDP-N-acetylmuramoyl-pentapeptide biosynthesis III (meso-diaminopimelate containing)	0.871635919924262	0.103915000480228	0.0057646711635981	0	0.0186844084319121
PWY-7977|L-methionine biosynthesis IV	0.860469314770031	0.0435857022161371	0.00219922901254099	0	0.093745754001291
PWY-7992|superpathway of menaquinol-8 biosynthesis III	0.708526804283676	0.0264997132493823	0.139858919070097	0.0906978359942503	0.0344167274025946
PWY-8004|Entner-Doudoroff pathway I	0.900612120429942	0.089058443766668	0.00051362630679549	0	0.00981580949659451
PWY-801|homocysteine and cysteine interconversion	0.935271455851729	0.060610339555513	0.000403738333565377	0	0.00371446625919305
PWY-8073|lipid IVA biosynthesis (P. putida)	0.83639017469157	0.0612698487392034	0.060451031963586	0.0387114502505572	0.00317749435508334
PWY-8131|5-deoxyadenosine degradation II	0.881807895438645	0.108487253144928	0.00304069545295692	0	0.00666415596347016
PWY-8178|pentose phosphate pathway (non-oxidative branch) II	0.729699267655259	0.210406360665909	0.0567988365757572	0	0.00309553510307475
PWY-8187|L-arginine degradation XIII (reductive Stickland reaction)	0.879903684843463	0.106317435015712	0.0130746947304798	0	0.000704185410345385
PWY-841|superpathway of purine nucleotides de novo biosynthesis I	0.807818223898201	0.0561410040782053	5.27609431022416e-05	0.035032597637558	0.100955413442934
PWY-922|mevalonate pathway I (eukaryotes and bacteria)	0.899612256275005	0.0863920461077308	0.00436685559280558	0	0.00962884202445823
PWY-I9|L-cysteine biosynthesis VI (from L-methionine)	0.894059780638168	0.0766845379455616	0.0182757007316066	0	0.0109799806846638
PWY0-1241|ADP-L-glycero-&beta;-D-manno-heptose biosynthesis	0.936047829085666	0.0329246160322646	0.00175572883271301	0	0.0292718260493566
PWY0-1261|anhydromuropeptides recycling I	0.89024961056974	0.0285813276128538	0.0198476130553144	0.0604037378719413	0.000917710890150213
PWY0-1296|purine ribonucleosides degradation	0.788678435600396	0.0418591242211545	0.0618781217394483	0.0665285270504733	0.0410557913885277
PWY0-1297|superpathway of purine deoxyribonucleosides degradation	0.88955848820124	0.0358893610072099	0.0667966479016729	0	0.00775550288987772
PWY0-1298|superpathway of pyrimidine deoxyribonucleosides degradation	0.954748205803403	0.00383526014908394	0.0330103331365133	0	0.00840620091099954
PWY0-1319|CDP-diacylglycerol biosynthesis II	0.911350701263505	0.0682342735609739	0.0145974933885071	0	0.0058175317870137
PWY0-1477|ethanolamine utilization	0.88483482000003	0.114640898737647	0.000502056333998417	0	2.22249283254154e-05
PWY0-1479|tRNA processing	0.501987372516573	0.00395580529249119	0.297162024283962	0.184141946103261	0.0127528518037122
PWY0-1586|peptidoglycan maturation (meso-diaminopimelate containing)	0.821016522240216	0.0346695033974547	0.0450428332928698	0.0920424346411733	0.00722870642828572
PWY0-162|superpathway of pyrimidine ribonucleotides de novo biosynthesis	0.913594503295076	0.0547012626061883	0.00857425825315704	0	0.0231299758455783
PWY0-166|superpathway of pyrimidine deoxyribonucleotides de novo biosynthesis (E. coli)	0.945311453140105	0.0290035245522889	0.0210027947999071	0	0.00468222750769921
PWY0-42|2-methylcitrate cycle I	0.80172924966006	0.0629321105264677	0.00441061014452551	0.124812561339709	0.0061154683292383
PWY0-845|superpathway of pyridoxal 5-phosphate biosynthesis and salvage	0.902109698145221	0.00140654965921467	0.0364291375807932	0	0.0600546146147716
PWY1ZNC-1|assimilatory sulfate reduction IV	0.898354454234025	0.0259487403958375	0.0251556934283397	0	0.0505411119417982
PWY4FS-7|phosphatidylglycerol biosynthesis I (plastidic)	0.887289139940015	0.0875962335960691	0.0193292877543553	0	0.00578533870956087
PWY4FS-8|phosphatidylglycerol biosynthesis II (non-plastidic)	0.887289139940015	0.0875962335960691	0.0193292877543553	0	0.00578533870956087
PWY4LZ-257|superpathway of fermentation (Chlamydomonas reinhardtii)	0.893807468050351	0.0362283381573681	0.0625822188985578	0	0.00738197489372257
PWY66-389|phytol degradation	0.960064030094264	0.037757302885746	0.00088080834361496	0	0.0012978586763751
PWY66-399|gluconeogenesis III	0.73417825571242	0.0951259899678396	0.0732301123575762	0.0262288990369599	0.0712367429252037
PWY66-429|fatty acid biosynthesis initiation (mitochondria)	0.632761635664423	0.137235408288436	0.228909709710604	0	0.00109324633653644
PYRIDNUCSYN-PWY|NAD de novo biosynthesis I (from aspartate)	0.938354491390555	0.0097573151082283	0.00232353429054368	0	0.0495646592106731
PYRIDOXSYN-PWY|pyridoxal 5-phosphate biosynthesis I	0.896355230167065	0.000925579084420025	0.0445450003880467	0	0.0581741903604679
REDCITCYC|TCA cycle VI (Helicobacter)	0.983288225080292	0.0051298065044308	0.00823073580776837	0	0.00335123260750847
RHAMCAT-PWY|L-rhamnose degradation I	0.854043488070875	0.000301326731863795	0.061383456295549	0	0.0842717289017128
RIBOSYN2-PWY|flavin biosynthesis I (bacteria and plants)	0.941059379569553	0.000235863913852364	0.0379967677962228	0	0.0207079887203718
SALVADEHYPOX-PWY|adenosine nucleotides degradation II	0.963138002925542	0.0302662471096853	0.00199464268192413	0	0.00460110728284871
SER-GLYSYN-PWY|superpathway of L-serine and glycine biosynthesis I	0.892691790291578	0.0317110908948473	0.0319205761854722	0	0.0436765426281022
SO4ASSIM-PWY|assimilatory sulfate reduction I	0.876263462754705	0.00680587337283388	0.00946204754952474	0.101765582119032	0.00570303420390474
SULFATE-CYS-PWY|superpathway of sulfate assimilation and cysteine biosynthesis	0.876108414093911	0.00540593452756343	0.0160298845951942	0.0946900908979443	0.00776567588538722
TCA|TCA cycle I (prokaryotic)	0.875340647438246	0.040575160842432	0.0526339518571687	0	0.0314502398621529
THISYNARA-PWY|superpathway of thiamine diphosphate biosynthesis III (eukaryotes)	0.783840563813486	0.205888860395707	0.00130886059462486	0	0.0089617151961821
THRESYN-PWY|superpathway of L-threonine biosynthesis	0.776305738452782	0.0788203875349561	0.000333109564597944	0.128896123672276	0.0156446407753885
TRNA-CHARGING-PWY|tRNA charging	0.948212169218203	0.000254225813712112	0.000751997278150109	0	0.0507816076899344
UDPNAGSYN-PWY|UDP-N-acetyl-D-glucosamine biosynthesis I	0.904015581975864	0.0695917153186775	0.0107037136706035	0.0135696915556212	0.00211929747923341
VALSYN-PWY|L-valine biosynthesis	0.9166630234491	0.0182859444459318	0.00231675577225258	0.0546182277619971	0.00811604857071801
