Residuals	number_of_pups_scaled	weight_grams_scaled	genotype	lipocalin2_pg_ml_scaled
GO:0004825|[MF] methionine-tRNA ligase activity	0.921346064791042	0.059942150097638	0.018674308987228	0	3.74761240917553e-05
GO:0004826|[MF] phenylalanine-tRNA ligase activity	0.798201058468632	0.16428867993815	0.0335685107409464	0	0.00394175085227237
GO:0004827|[MF] proline-tRNA ligase activity	0.93028979093771	0.0579694456692686	0.000318246574514663	0	0.011422516818507
GO:0004828|[MF] serine-tRNA ligase activity	0.822315390609227	0.130250076838402	0.0361223358987906	0	0.0113121966535805
GO:0004829|[MF] threonine-tRNA ligase activity	0.883864031525181	0.0974840624768607	0.0176121424007108	0	0.00103976359724766
GO:0004830|[MF] tryptophan-tRNA ligase activity	0.905042855538114	0.0159006770579416	0.00501027527487354	0	0.0740461921290704
GO:0004831|[MF] tyrosine-tRNA ligase activity	0.840229651828394	0.119230521108764	0.0342358984454535	0	0.00630392861738871
GO:0004832|[MF] valine-tRNA ligase activity	0.832396258611804	0.135758502889418	0.0247865505401125	0	0.00705868795866481
GO:0004834|[MF] tryptophan synthase activity	0.919212278096283	0.0150087933665513	0.0465698413476694	0.00169063535791525	0.0175184518315808
GO:0004844|[MF] uracil DNA N-glycosylase activity	0.854282748652831	0.0921856616524758	0.0447412782975701	0	0.00879031139712325
GO:0004845|[MF] uracil phosphoribosyltransferase activity	0.843451488195742	0.13371814871403	0.012683104276505	0	0.0101472588137225
GO:0004847|[MF] urea carboxylase activity	0.843643958758119	0.101413384728645	0.0223936517634278	0	0.0325490047498083
GO:0004848|[MF] ureidoglycolate hydrolase activity	0.807530367775736	0.0216393700563844	0.0193843918488804	0.0633520496538063	0.0880938206651933
GO:0004849|[MF] uridine kinase activity	0.932098677203206	0.0546730543932318	0.00928821118119893	0	0.0039400572223635
GO:0004850|[MF] uridine phosphorylase activity	0.897215307342024	0.00445426643846057	0.0224710917358145	0.050392376571252	0.0254669579124493
GO:0004851|[MF] uroporphyrin-III C-methyltransferase activity	0.866855378650659	0.0956278530100237	0.0375040653125742	0	1.27030267433994e-05
GO:0004852|[MF] uroporphyrinogen-III synthase activity	0.768967253818069	0.162398541208829	0.0324615053175907	0	0.0361726996555118
GO:0004853|[MF] uroporphyrinogen decarboxylase activity	0.778850742137597	0.0096902281318977	0.00186347617032521	0.202232656695241	0.00736289686493906
GO:0004854|[MF] xanthine dehydrogenase activity	0.83656291393729	0.0909489490643416	0.0621903179194805	0	0.0102978190788884
GO:0004856|[MF] xylulokinase activity	0.839676593390507	0.0109501831312916	0.020143058371584	0.124590025702138	0.0046401394044791
GO:0004866|[MF] endopeptidase inhibitor activity	0.97621593872122	0.0221364926629945	0.000548538785065153	0	0.00109902983071993
GO:0004871|[MF] signal transducer activity	0.916040951681957	0.0383287212485121	0.0353214731536282	0	0.0103088539159023
GO:0004872|[MF] receptor activity	0.847961982457415	0.0337329929131039	0.0186493019231063	0.0945100331762706	0.00514568953010365
GO:0004930|[MF] G-protein coupled receptor activity	0.95706645675757	0.012129270303855	0.000544457965798016	0.0238934412269797	0.00636637374579689
GO:0005198|[MF] structural molecule activity	0.913933823355146	0.0357322434918259	0.0357477292554888	0	0.0145862038975397
GO:0005199|[MF] structural constituent of cell wall	0.894462079555235	0.102959731263576	0.00145453473353416	0	0.00112365444765458
GO:0005200|[MF] structural constituent of cytoskeleton	0.816280902092009	0.157934202828269	0.0253697773839944	0	0.000415117695727306
GO:0005215|[MF] transporter activity	0.838152516531667	0.0557487052890003	0.051059894419284	0.0415782119572318	0.0134606718028169
GO:0005216|[MF] ion channel activity	0.840111391945229	0.128605742935875	0.0284072209680868	0	0.0028756441508093
GO:0005247|[MF] voltage-gated chloride channel activity	0.841158794861227	0.141362023354792	0.0107889364527983	0	0.00669024533118275
GO:0005249|[MF] voltage-gated potassium channel activity	0.957018946955271	0.0396193318831038	0.00212454788372583	0	0.0012371732778995
GO:0005267|[MF] potassium channel activity	0.937964864039373	0.0315554310048852	0.0262996729290321	0	0.00418003202670924
GO:0005298|[MF] proline:sodium symporter activity	0.971679285465757	0.0149439005559987	0.00348701973097443	0	0.00988979424727019
GO:0005315|[MF] inorganic phosphate transmembrane transporter activity	0.771202708285053	0.176369724848239	0.0428687529374035	0	0.00955881392930421
GO:0005328|[MF] neurotransmitter:sodium symporter activity	0.874828655057629	0.00186536727049742	0.0224568520070419	0.0586809915694868	0.0421681340953453
GO:0005337|[MF] nucleoside transmembrane transporter activity	0.952438634894947	0.0451028588326343	3.33840913884283e-06	0	0.00245516786327962
GO:0005344|[MF] oxygen transporter activity	0.880363472586244	0.0012852655088784	0.0857257658216181	0	0.0326254960832595
GO:0005345|[MF] purine nucleobase transmembrane transporter activity	0.906261698808119	0.0431443991378479	0.0343244968080262	0.00850191054235221	0.00776749470365455
GO:0005351|[MF] sugar:proton symporter activity	0.939306526748884	0.0495231885007585	0.0106558810395177	0	0.000514403710839443
GO:0005354|[MF] galactose transmembrane transporter activity	0.873142748983136	0.105597049281399	0.00706054838204852	0.0034245587333838	0.0107750946200323
GO:0005355|[MF] glucose transmembrane transporter activity	0.821748952958086	0.020326235207085	0.109477766319369	0.00595264040453084	0.0424944051109291
GO:0005363|[MF] maltose transmembrane transporter activity	0.618767468994302	0.123270754071915	0.00307701653131095	0.229090857462814	0.0257939029396578
GO:0005384|[MF] manganese ion transmembrane transporter activity	0.955670894088692	0.000638701708588224	0.00676896295675913	0.0307740046747496	0.00614743657121054
GO:0005388|[MF] calcium-transporting ATPase activity	0.787624774147241	0.103480309161569	0.0861537048859569	0	0.022741211805233
GO:0005415|[MF] nucleoside:sodium symporter activity	0.837514392118824	0.0678600973912439	0.0289065808864323	0	0.0657189296034999
GO:0005451|[MF] monovalent cation:proton antiporter activity	0.702368241806525	0.256937277677022	0.0394267632461048	0	0.00126771727034769
GO:0005471|[MF] ATP:ADP antiporter activity	0.844990798129997	0.0663897052176097	0.0062577781853896	0.0823389835457019	2.27349213021105e-05
GO:0005506|[MF] iron ion binding	0.859994583235257	0.0816376828376102	0.0468122907438722	1.11160291134179e-16	0.011555443183261
GO:0005507|[MF] copper ion binding	0.85409911577192	0.00155647916511414	0.0785728519188419	0.0651585813723713	0.000612971771752773
GO:0005509|[MF] calcium ion binding	0.90486328678933	0.015458999351386	0.0399436337267643	0.0209349548323807	0.0187991253001386
GO:0005524|[MF] ATP binding	0.790808180580599	0.127685302693922	0.0631460455563709	0	0.0183604711691084
GO:0005525|[MF] GTP binding	0.827144818065141	0.101918027727355	0.0545528019779849	0	0.0163843522295186
GO:0005542|[MF] folic acid binding	0.885491707132701	0.0244070376182306	0.0363952482655183	0	0.0537060069835501
GO:0005576|[CC] extracellular region	0.756029986349684	0.17451481712144	0.0593572468814987	0	0.0100979496473776
GO:0005581|[CC] collagen trimer	0.845460023322574	0.0726799600172325	0.067214604063213	0	0.0146454125969803
GO:0005615|[CC] extracellular space	0.874447868110326	0.101041636393384	0.0170688457873899	0.00470702080272874	0.00273462890617067
GO:0005618|[CC] cell wall	0.821591991569928	0.146786943791787	0.0269944286453569	0	0.00462663599292788
GO:0005622|[CC] intracellular	0.844933604335957	0.0237774159716815	0.0342230229420108	0.0913785809368133	0.00568737581353712
GO:0005623|[CC] cell	0.677926931189399	0.281374257244962	0.0295019326916284	0	0.0111968788740101
GO:0005634|[CC] nucleus	0.757988549655641	0.0307740978602437	0.00532229083416444	0	0.205915061649951
GO:0005654|[CC] nucleoplasm	0.84694847355522	0.00854802470879595	0.0241639105591866	0	0.120339591176797
GO:0005694|[CC] chromosome	0.823870858047922	0.02576085952816	0.0362706468759092	0.113250153308833	0.00084748223917591
GO:0005727|[CC] extrachromosomal circular DNA	0.798162335264886	0.00855209049549356	0.0562188688880991	0.128645872388248	0.00842083296327323
GO:0005730|[CC] nucleolus	0.78634774166499	0.00491990630134806	0.00854859704927325	0	0.200183754984388
GO:0005737|[CC] cytoplasm	0.781532079345697	0.142764206539017	0.0590775494976067	0	0.0166261646176785
GO:0005739|[CC] mitochondrion	0.78000136649232	0.000659885232304195	0.00189355040154181	0	0.217445197873833
GO:0005743|[CC] mitochondrial inner membrane	0.794653751208177	0.00377854355749375	3.82559038140255e-05	0	0.201529449330516
GO:0005747|[CC] mitochondrial respiratory chain complex I	0.733025642395212	0.0118236997013811	0.00936407679310022	0	0.245786581110307
GO:0005753|[CC] mitochondrial proton-transporting ATP synthase complex	0.891357756889707	0.00734168739219513	0.00110327341325007	0	0.100197282304848
GO:0005829|[CC] cytosol	0.746082935493006	0.216816624460368	0.0359410010484256	0	0.00115943899820048
GO:0005839|[CC] proteasome core complex	0.934029556899678	0.00826805351624143	0.012919871944952	0	0.0447825176391288
GO:0005840|[CC] ribosome	0.882532659987583	0.0936888419023619	0.0165301411597169	0	0.00724835695033792
GO:0005874|[CC] microtubule	0.577298468449616	0.288496790261598	0.0983305979894143	0	0.0358741432993718
GO:0005886|[CC] plasma membrane	0.800016096721506	0.115101915324449	0.0623330797042583	0	0.0225489082497872
GO:0005887|[CC] integral component of plasma membrane	0.801590115697005	0.157895038508243	0.0363595580476046	0	0.00415528774714712
GO:0005925|[CC] focal adhesion	0.81005855747779	0.16328015918934	0.0259246188940344	0	0.000736664438835114
GO:0005940|[CC] septin ring	0.840359951329492	0.128329675185798	0.02611149023328	0	0.00519888325143067
GO:0005960|[CC] glycine cleavage complex	0.885834524642107	0.0424401927952656	0.0178601612577895	0	0.0538651213048383
GO:0005971|[CC] ribonucleoside-diphosphate reductase complex	0.859044009839363	0.132545309149604	0.000412610284979282	0	0.00799807072605334
GO:0005975|[BP] carbohydrate metabolic process	0.816527684868408	0.117937589351917	0.054767897283347	0	0.010766828496328
GO:0005976|[BP] polysaccharide metabolic process	0.652163453136175	0.00772847763147567	0.0432992755494114	0.296799621878176	9.17180476150436e-06
GO:0005978|[BP] glycogen biosynthetic process	0.80619163156649	0.0569163954325943	0.0230932425657432	0.113374085494265	0.000424644940907176
GO:0005980|[BP] glycogen catabolic process	0.765093208650048	0.11301713967684	0.00485825754402685	0.112674252913253	0.00435714121583174
GO:0005982|[BP] starch metabolic process	0.841295481831124	0.0268135009015511	0.00133233932067587	0.0340279195960439	0.0965307583506049
GO:0005983|[BP] starch catabolic process	0.944778887733574	0.0119643710692595	0.000862519875832563	0	0.0423942213213337
GO:0005985|[BP] sucrose metabolic process	0.573181026612932	0.409876074247657	0.0104329150863874	0	0.00650998405302328
GO:0005988|[BP] lactose metabolic process	0.748375649847692	0.213137386795678	0.0352381008594881	0	0.00324886249714222
GO:0005993|[BP] trehalose catabolic process	0.916969309643479	0.0162290609748667	0.000243707985896898	0	0.0665579213957571
GO:0005996|[BP] monosaccharide metabolic process	0.824748366802939	0.00564205716163188	0.08062639276858	0.0354720924194087	0.0535110908474407
GO:0005997|[BP] xylulose metabolic process	0.839676593390507	0.0109501831312916	0.020143058371584	0.124590025702138	0.0046401394044791
GO:0006002|[BP] fructose 6-phosphate metabolic process	0.854657347603719	0.0648437056977598	0.0530252169620432	0	0.0274737297364781
GO:0006004|[BP] fucose metabolic process	0.865837042909628	0.00263386723608468	0.0216943072957346	0.106442274404762	0.00339250815379112
GO:0006006|[BP] glucose metabolic process	0.998186446461569	9.55669811140893e-05	0.00109287921519433	0	0.000625107342122446
GO:0006007|[BP] glucose catabolic process	0.985598706929659	0.0085766596517355	0.000968317219228902	0	0.00485631619937664
GO:0006011|[BP] UDP-glucose metabolic process	0.901597892600458	0.00185057548667967	0.067230048109107	0	0.0293214838037552
GO:0006012|[BP] galactose metabolic process	0.790619394030455	0.134279836609395	0.0506549431528741	0	0.0244458262072762
GO:0006013|[BP] mannose metabolic process	0.784038680451475	0.130109679919661	0.0359069546468258	0.0475079959141985	0.00243668906783996
GO:0006014|[BP] D-ribose metabolic process	0.760323782714556	0.198954533224171	0.0265208535553548	0	0.0142008305059182
GO:0006015|[BP] 5-phosphoribose 1-diphosphate biosynthetic process	0.823897979742907	0.099300441980644	0.0526594985727674	0	0.0241420797036815
GO:0006021|[BP] inositol biosynthetic process	0.813401761531967	0.121363127281042	0.0110404264484516	0.0539560075502607	0.000238677188279259
GO:0006032|[BP] chitin catabolic process	0.923528861820152	0.0189475645276096	0.0346348232706133	0	0.0228887503816252
GO:0006040|[BP] amino sugar metabolic process	0.857530556890881	0.00519674892498281	0.0733028800135168	0	0.0639698141706194
GO:0006044|[BP] N-acetylglucosamine metabolic process	0.815793824206126	0.101257720526833	0.0684833033899014	0	0.0144651518771394
GO:0006047|[BP] UDP-N-acetylglucosamine metabolic process	0.790382569929294	0.0395494531735094	0.0999087780014154	0.0700463461221347	0.000112852773646374
GO:0006048|[BP] UDP-N-acetylglucosamine biosynthetic process	0.890348113751031	0.0871863653937451	0.0127271057254054	0	0.0097384151298188
GO:0006051|[BP] N-acetylmannosamine metabolic process	0.748296678565637	0.166963469969723	0.0774095100262082	0	0.00733034143843166
GO:0006064|[BP] glucuronate catabolic process	0.932003611877102	0.0501536637608037	0.0140332441136115	0	0.00380948024848258
GO:0006066|[BP] alcohol metabolic process	0.838052187214386	0.0552196084895604	0.00016938430329857	0.0925742871072234	0.0139845328855321
GO:0006071|[BP] glycerol metabolic process	0.794849811924732	0.0400734960286096	0.0589298353825018	0	0.106146856664157
GO:0006072|[BP] glycerol-3-phosphate metabolic process	0.813617855793869	0.126026227211094	0.0290193587026104	0.0214527461453675	0.00988381214705963
GO:0006080|[BP] substituted mannan metabolic process	0.630954662502377	0.190005647137494	0.010285431912896	0.155710389759187	0.0130438686880459
GO:0006081|[BP] cellular aldehyde metabolic process	0.641855302452045	0.0206512122766008	0.00388532645001852	0.281205257334696	0.0524029014866397
GO:0006082|[BP] organic acid metabolic process	0.71278381819982	0.282590112243311	0.000716705049897612	0	0.00390936450697065
GO:0006084|[BP] acetyl-CoA metabolic process	0.93467620942842	0.0302151605531327	0.0150344547665177	0	0.0200741752519299
GO:0006085|[BP] acetyl-CoA biosynthetic process	0.736937323390452	0.25839085175906	6.28978842109535e-05	0	0.00460892696627638
GO:0006090|[BP] pyruvate metabolic process	0.83818087262696	0.117944501481692	0.0413783367111332	0	0.00249628918021464
GO:0006091|[BP] generation of precursor metabolites and energy	0.905339120040696	0.0639536272776931	0.0209072013144688	0	0.00980005136714191
GO:0006094|[BP] gluconeogenesis	0.859427628284713	0.101177044650344	0.0179072338989879	0	0.0214880931659551
GO:0006096|[BP] glycolytic process	0.848012717565004	0.112646676153753	0.0293099578238664	0	0.0100306484573762
GO:0006097|[BP] glyoxylate cycle	0.835453738670703	0.0209768012231914	0.0607574757640924	0	0.0828119843420133
GO:0006098|[BP] pentose-phosphate shunt	0.795734979457714	0.122914187344175	0.0604602694279498	0	0.020890563770161
GO:0006099|[BP] tricarboxylic acid cycle	0.955515575383249	0.0422057756869517	8.295623775066e-05	0	0.00219569269204861
GO:0006102|[BP] isocitrate metabolic process	0.900412511627023	0.00295039513486189	0.0264557762748668	0.0316003279350854	0.0385809890281627
GO:0006106|[BP] fumarate metabolic process	0.966246945962892	0.0142917344816579	1.84318348736249e-05	0	0.019442887720577
GO:0006108|[BP] malate metabolic process	0.97356142377646	0.00469938303869998	0.016010819591906	0	0.00572837359293389
GO:0006109|[BP] regulation of carbohydrate metabolic process	0.908331508733396	0.0156918825060404	0.0409461849970101	0	0.0350304237635536
GO:0006120|[BP] mitochondrial electron transport, NADH to ubiquinone	0.719158081158933	0.00522556633349602	0.00338140123567523	0	0.272234951271896
GO:0006139|[BP] nucleobase-containing compound metabolic process	0.945424223822177	0.0329639116441658	0.0130541878254726	0.00397680742091033	0.00458086928727398
GO:0006146|[BP] adenine catabolic process	0.904554830508568	0.0403231693790447	0.019064302351615	0	0.0360576977607722
GO:0006147|[BP] guanine catabolic process	0.75009109788378	0.0623709176057972	0.164847794168086	0	0.0226901903423369
GO:0006163|[BP] purine nucleotide metabolic process	0.753031443603241	0.185779272802565	0.0534960375452576	0	0.00769324604893627
GO:0006164|[BP] purine nucleotide biosynthetic process	0.786112188347603	0.151546198282112	0.0618891283778533	0	0.000452484992432151
GO:0006166|[BP] purine ribonucleoside salvage	0.782966305911807	0.191404203358242	0.0148210517292978	0	0.0108084390006535
GO:0006168|[BP] adenine salvage	0.905155909574183	0.0577105626495634	0.0190189808584676	0	0.0181145469177857
GO:0006177|[BP] GMP biosynthetic process	0.883756613480214	0.0618381567823307	0.0178074777367728	0	0.036597752000683
GO:0006183|[BP] GTP biosynthetic process	0.797863806355806	0.136629732612813	0.000426557549015343	0	0.0650799034823659
GO:0006188|[BP] IMP biosynthetic process	0.835668633398725	0.00136525605665817	0.0291219067984137	0.122639353418346	0.0112048503278571
GO:0006189|[BP] de novo IMP biosynthetic process	0.767951905794558	0.158936198849547	0.0262936430410201	0	0.0468182523148746
GO:0006206|[BP] pyrimidine nucleobase metabolic process	0.823683317089868	0.0109200286365868	0.0300111275118113	0	0.135385526761734
GO:0006207|[BP] de novo pyrimidine nucleobase biosynthetic process	0.830139453475836	0.122605129463316	0.022559020053883	0	0.0246963970069651
GO:0006213|[BP] pyrimidine nucleoside metabolic process	0.823683317089868	0.0109200286365868	0.0300111275118113	0	0.135385526761734
GO:0006220|[BP] pyrimidine nucleotide metabolic process	0.900212717104801	0.0510954910649983	0.0174594079389444	0.019587348821962	0.0116450350692942
GO:0006221|[BP] pyrimidine nucleotide biosynthetic process	0.802055942584088	0.00758131318903012	0.00622592495760048	0.144114235832188	0.0400225834370938
GO:0006222|[BP] UMP biosynthetic process	0.637431465112486	0.0159267848510511	0.341699577518995	0	0.0049421725174671
GO:0006223|[BP] uracil salvage	0.808364637673119	0.136146252120037	0.0302918141314092	0	0.0251972960754348
GO:0006226|[BP] dUMP biosynthetic process	0.805634122058996	0.0425412924454889	0.026105742561322	0.100908788767457	0.0248100541667363
GO:0006228|[BP] UTP biosynthetic process	0.797863806355806	0.136629732612813	0.000426557549015343	0	0.0650799034823659
GO:0006229|[BP] dUTP biosynthetic process	0.836310415406213	0.0159470782221086	0.101581650403424	0	0.0461608559682543
GO:0006231|[BP] dTMP biosynthetic process	0.917947058666871	0.00187791701958266	0.044660335680296	0	0.0355146886332503
GO:0006233|[BP] dTDP biosynthetic process	0.889390320572233	0.0879390717782019	0.0225054587889391	0	0.000165148860626399
GO:0006235|[BP] dTTP biosynthetic process	0.898449029997198	0.0766068351776112	0.0248465703755842	0	9.75644496065441e-05
GO:0006241|[BP] CTP biosynthetic process	0.797863806355806	0.136629732612813	0.000426557549015343	0	0.0650799034823659
GO:0006259|[BP] DNA metabolic process	0.756649417075305	0.0815261890369678	0.142518286192054	0	0.0193061076956738
GO:0006260|[BP] DNA replication	0.762516105600741	0.161689408159164	0.0624369628686415	0	0.0133575233714534
GO:0006261|[BP] DNA-dependent DNA replication	0.783998526652629	0.0969469828531333	0.0524271942411961	0.0661206789446243	0.000506617308417507
GO:0006265|[BP] DNA topological change	0.765720697511804	0.0133065546808165	0.0729463801074185	0.147882470368637	0.000143897331323611
GO:0006268|[BP] DNA unwinding involved in DNA replication	0.761113352802685	0.117886505770795	0.0695247370567137	0	0.0514754043698064
GO:0006269|[BP] DNA replication, synthesis of RNA primer	0.740772027388445	0.192202476113711	0.040311913271364	0	0.0267135832264797
GO:0006270|[BP] DNA replication initiation	0.731889295649008	0.218351627541109	0.0471224322811005	0	0.00263664452878262
GO:0006275|[BP] regulation of DNA replication	0.765136894754955	0.157245449275759	0.0695127288746944	0	0.00810492709459221
GO:0006281|[BP] DNA repair	0.736524674535231	0.201504447958981	0.0493676157598702	0	0.0126032617459174
GO:0006282|[BP] regulation of DNA repair	0.828510736881509	0.133109266552201	0.0315972550414944	0	0.00678274152479565
GO:0006284|[BP] base-excision repair	0.780878027014128	0.157077138071532	0.0485729130928508	0	0.0134719218214889
GO:0006289|[BP] nucleotide-excision repair	0.79508455495718	0.150897944014882	0.0474830327890803	0	0.00653446823885685
GO:0006298|[BP] mismatch repair	0.790727525808185	0.11962097934047	0.0804202074868458	0	0.00923128736449899
GO:0006302|[BP] double-strand break repair	0.929687753259411	0.0322829685189759	0.0311827632162302	2.95424984747812e-14	0.00684651500535366
GO:0006303|[BP] double-strand break repair via nonhomologous end joining	0.941907676846057	0.0567861347432089	0.0012470666057128	0	5.91218050214828e-05
GO:0006304|[BP] DNA modification	0.877693790211138	0.0976989285680611	0.01803453997283	0	0.00657274124797064
GO:0006306|[BP] DNA methylation	0.680263799942568	0.000173771914205462	0.0118059569817285	0.305092224975238	0.00266424618626057
GO:0006307|[BP] DNA dealkylation involved in DNA repair	0.789704398873348	0.134806973950127	0.0574684885059452	0	0.0180201386705805
GO:0006308|[BP] DNA catabolic process	0.783104145165929	0.140674900496869	0.0667493498811898	0	0.00947160445601263
GO:0006310|[BP] DNA recombination	0.755403168076252	0.0727944166400618	0.0505363486470841	0.119239460974551	0.00202660566205123
GO:0006313|[BP] transposition, DNA-mediated	0.880126310094617	0.0775159714653869	0.0381506282129088	0	0.0042070902270875
GO:0006323|[BP] DNA packaging	0.884057758613475	0.0892803022320901	1.15684287154928e-08	0	0.0266619275860059
GO:0006351|[BP] transcription, DNA-templated	0.816457153769515	0.062106968306832	0.0521931991268031	0.0522643776888917	0.0169783011079577
GO:0006352|[BP] DNA-templated transcription, initiation	0.869201138321706	0.0209666253708334	0.0278428862818404	0.0801497291543648	0.00183962087125571
GO:0006353|[BP] DNA-templated transcription, termination	0.82808093838088	0.140446291520787	0.0304819639652607	0	0.000990806133072655
GO:0006354|[BP] DNA-templated transcription, elongation	0.90914290786894	0.0771213094207912	0.00903962204501938	0	0.00469616066524978
GO:0006355|[BP] regulation of transcription, DNA-templated	0.799181778193852	0.0349753729119457	0.0403372364223444	0.117436861369514	0.00806875110234382
GO:0006364|[BP] rRNA processing	0.820232478413104	0.111887614140565	0.0572947906148422	0	0.0105851168314881
GO:0006388|[BP] tRNA splicing, via endonucleolytic cleavage and ligation	0.9300643488538	0.0480848213180573	0.0218402674568986	0	1.05623712438686e-05
GO:0006396|[BP] RNA processing	0.885917339982614	0.0673880741286756	0.028738393833842	0	0.0179561920548681
GO:0006397|[BP] mRNA processing	0.774658557183337	0.0917976224931065	0.11694345002397	0	0.0166003702995859
GO:0006400|[BP] tRNA modification	0.79504170350598	0.167940686811744	0.0319403368846684	0	0.00507727279760733
GO:0006401|[BP] RNA catabolic process	0.941000060632196	0.0197139579207242	0.0128725920913139	4.07229004918745e-17	0.0264133893557656
GO:0006402|[BP] mRNA catabolic process	0.895642564404986	0.0113338358368284	0.0427821496857135	0	0.0502414500724724
GO:0006412|[BP] translation	0.884655555799766	0.0918825004834663	0.0165651226277384	0	0.00689682108902986
GO:0006415|[BP] translational termination	0.803931272996574	0.146483069805414	0.0488831966412104	0	0.000702460556801679
GO:0006417|[BP] regulation of translation	0.911206041304369	0.0831626972772676	0.000371523050230431	0	0.00525973836813322
GO:0006418|[BP] tRNA aminoacylation for protein translation	0.792424505879485	0.134572964417812	0.0530596163369627	0	0.0199429133657403
GO:0006419|[BP] alanyl-tRNA aminoacylation	0.797079271367147	0.164513858057095	0.00646377694844948	0	0.0319430936273079
GO:0006420|[BP] arginyl-tRNA aminoacylation	0.816725516712068	0.151299436230733	0.0316657858652339	0	0.000309261191964895
GO:0006421|[BP] asparaginyl-tRNA aminoacylation	0.906681972156746	0.0046424428230758	0.0297471035018684	0	0.0589284815183098
GO:0006422|[BP] aspartyl-tRNA aminoacylation	0.751091633330403	0.117108414559701	0.100751396053801	0	0.0310485560560952
GO:0006423|[BP] cysteinyl-tRNA aminoacylation	0.813955721237709	0.136028287557942	0.0484236974826443	0	0.00159229372170477
GO:0006424|[BP] glutamyl-tRNA aminoacylation	0.914014271297209	0.0406507866515081	0.028186959601766	0	0.017147982449517
GO:0006425|[BP] glutaminyl-tRNA aminoacylation	0.905236463807179	0.0031531572028435	0.0375136091451879	0.0532337042027195	0.000863065642070507
GO:0006426|[BP] glycyl-tRNA aminoacylation	0.323487963220888	0.00135061871642018	3.38372687444533e-05	0.576883937093273	0.0982436437006741
GO:0006427|[BP] histidyl-tRNA aminoacylation	0.796604846373339	0.132898869329792	0.0680757599169132	0	0.00242052437995518
GO:0006428|[BP] isoleucyl-tRNA aminoacylation	0.785920147111998	0.156125895962509	0.0424989278883675	0	0.0154550290371254
GO:0006429|[BP] leucyl-tRNA aminoacylation	0.874836369594716	0.101272214323752	0.0163782587937748	0	0.00751315728775761
GO:0006430|[BP] lysyl-tRNA aminoacylation	0.969196722045566	0.0103222646416507	0.00633395683949969	0	0.0141470564732836
GO:0006431|[BP] methionyl-tRNA aminoacylation	0.921346064791042	0.059942150097638	0.018674308987228	0	3.74761240917553e-05
GO:0006432|[BP] phenylalanyl-tRNA aminoacylation	0.796528368725681	0.165301034470387	0.0325446855342345	0	0.00562591126969734
GO:0006433|[BP] prolyl-tRNA aminoacylation	0.93028979093771	0.0579694456692686	0.000318246574514663	0	0.011422516818507
GO:0006434|[BP] seryl-tRNA aminoacylation	0.822844701905852	0.129955200063137	0.0356809852349092	0	0.0115191127961019
GO:0006435|[BP] threonyl-tRNA aminoacylation	0.883864031525181	0.0974840624768607	0.0176121424007108	0	0.00103976359724766
GO:0006436|[BP] tryptophanyl-tRNA aminoacylation	0.905042855538114	0.0159006770579416	0.00501027527487354	0	0.0740461921290704
GO:0006437|[BP] tyrosyl-tRNA aminoacylation	0.8414515528599	0.11861508721572	0.0335828557342393	0	0.00635050419014055
GO:0006438|[BP] valyl-tRNA aminoacylation	0.832396258611804	0.135758502889418	0.0247865505401125	0	0.00705868795866481
GO:0006449|[BP] regulation of translational termination	0.845637867341095	0.0770152725688846	0.0683954987558545	0	0.00895136133416575
GO:0006450|[BP] regulation of translational fidelity	0.733791276427247	0.219918522561944	0.0341763352059493	0	0.012113865804859
GO:0006457|[BP] protein folding	0.793328493496384	0.126517309276607	0.0636454066764255	0	0.0165087905505835
GO:0006461|[BP] protein complex assembly	0.921133368635568	0.0189224655059957	0.010057920473756	0.0424432074946477	0.00744303789003239
GO:0006464|[BP] cellular protein modification process	0.933507494354563	0.0502375043330341	0.015796744062247	0	0.000458257250156191
GO:0006465|[BP] signal peptide processing	0.866955618772768	0.0361716636479152	0.0951010552303785	0	0.00177166234893868
GO:0006470|[BP] protein dephosphorylation	0.869139518392903	0.107609187338479	0.0189290505755425	0	0.00432224369307587
GO:0006474|[BP] N-terminal protein amino acid acetylation	0.772902811385861	0.155409681304107	0.0651917311345394	0	0.00649577617549252
GO:0006486|[BP] protein glycosylation	0.81169312896598	0.0160386476472711	0.0185608151801195	0	0.15370740820663
GO:0006487|[BP] protein N-linked glycosylation	0.881040344123978	0.0945059768602548	0.0232927036455686	0	0.00116097537019817
GO:0006505|[BP] GPI anchor metabolic process	0.966781477818529	0.010039277365862	0.0074058170634154	0	0.0157734277521936
GO:0006508|[BP] proteolysis	0.933718900018945	0.0212779883801369	0.0221086760344364	0.0128069517709531	0.0100874837955282
GO:0006515|[BP] misfolded or incompletely synthesized protein catabolic process	0.871688752934175	0.0328672239880672	0.0227706617615692	0.071873985980751	0.000799375335437871
GO:0006518|[BP] peptide metabolic process	0.721479458937165	0.197163738207882	0.0632329402425746	0	0.0181238626123792
GO:0006520|[BP] cellular amino acid metabolic process	0.838474339897621	0.0941168387947367	0.0458480809032877	0	0.0215607404043543
GO:0006522|[BP] alanine metabolic process	0.731174141081159	0.200769035537702	0.0130304199684504	0	0.0550264034126891
GO:0006523|[BP] alanine biosynthetic process	0.864332210912176	0.00218011823386479	0.0670085887912807	0	0.0664790820626785
GO:0006525|[BP] arginine metabolic process	0.795117837841812	0.0138445738719719	0.0552433967528494	0.135158452401696	0.00063573913167068
