2023-12-20 21:13:39.640165 INFO::Writing function arguments to log file
2023-12-20 21:13:39.644813 DEBUG::Function arguments
2023-12-20 21:13:39.64811 DEBUG::Output folder: outputs/differential_abundance_species_metaphlan4/lmm_maaslin2/species/alldata
2023-12-20 21:13:39.648291 DEBUG::Min Abundance: 0.000000
2023-12-20 21:13:39.648442 DEBUG::Min Prevalence: 0.200000
2023-12-20 21:13:39.64858 DEBUG::Normalization: NONE
2023-12-20 21:13:39.648716 DEBUG::Transform: NONE
2023-12-20 21:13:39.648848 DEBUG::Analysis method: LM
2023-12-20 21:13:39.648977 DEBUG::Max significance: 0.250000
2023-12-20 21:13:39.649112 DEBUG::Random effects: mouse_id
2023-12-20 21:13:39.649241 DEBUG::Fixed effects: trimester,genotype
2023-12-20 21:13:39.649368 DEBUG::Correction method: BH
2023-12-20 21:13:39.649493 DEBUG::Standardize: TRUE
2023-12-20 21:13:39.649615 DEBUG::Cores: 1
2023-12-20 21:13:39.649732 INFO::Verifying options selected are valid
2023-12-20 21:13:39.690446 INFO::Determining format of input files
2023-12-20 21:13:39.691223 INFO::Input format is data samples as rows and metadata samples as rows
2023-12-20 21:13:39.692435 DEBUG::A total of 72 samples were found in both the data and metadata
2023-12-20 21:13:39.692608 DEBUG::Reordering data/metadata to use same sample ordering
2023-12-20 21:13:45.646709 INFO::Creating boxplot for categorical data, trimester vs s__GGB14001_SGB21428
2023-12-20 21:13:45.71061 INFO::Creating boxplot for categorical data, trimester vs s__Eggerthellaceae_bacterium
2023-12-20 21:13:45.774051 INFO::Creating boxplot for categorical data, trimester vs s__Muribaculaceae_bacterium_Isolate_013_NCI
2023-12-20 21:13:45.845663 INFO::Creating boxplot for categorical data, trimester vs s__Ligilactobacillus_murinus
2023-12-20 21:13:45.908731 INFO::Creating boxplot for categorical data, trimester vs s__GGB27776_SGB40190
2023-12-20 21:13:45.97135 INFO::Creating boxplot for categorical data, trimester vs s__GGB14014_SGB21441
2023-12-20 21:13:46.033717 INFO::Creating boxplot for categorical data, trimester vs s__GGB14001_SGB21428
2023-12-20 21:13:46.095639 INFO::Creating boxplot for categorical data, trimester vs s__GGB14014_SGB21441
2023-12-20 21:13:46.166376 INFO::Creating boxplot for categorical data, trimester vs s__GGB27892_SGB40326
2023-12-20 21:13:46.228431 INFO::Creating boxplot for categorical data, trimester vs s__Limosilactobacillus_reuteri
2023-12-20 21:13:46.291555 INFO::Creating boxplot for categorical data, trimester vs s__Streptococcus_danieliae
2023-12-20 21:13:46.353444 INFO::Creating boxplot for categorical data, trimester vs s__GGB27892_SGB40326
2023-12-20 21:13:46.41531 INFO::Creating boxplot for categorical data, trimester vs s__GGB24149_SGB35953
2023-12-20 21:13:46.486432 INFO::Creating boxplot for categorical data, trimester vs s__GGB27776_SGB40190
2023-12-20 21:13:46.549464 INFO::Creating boxplot for categorical data, trimester vs s__GGB27898_SGB40333
2023-12-20 21:13:46.61169 INFO::Creating boxplot for categorical data, trimester vs s__Helicobacter_hepaticus
2023-12-20 21:13:46.674863 INFO::Creating boxplot for categorical data, trimester vs s__GGB24132_SGB35935
2023-12-20 21:13:46.746772 INFO::Creating boxplot for categorical data, trimester vs s__bacterium_1XD42_54
2023-12-20 21:13:46.809205 INFO::Creating boxplot for categorical data, trimester vs s__Adlercreutzia_muris
2023-12-20 21:13:46.872564 INFO::Creating boxplot for categorical data, trimester vs s__GGB28888_SGB41569
2023-12-20 21:13:46.93498 INFO::Creating boxplot for categorical data, trimester vs s__GGB28956_SGB41665
2023-12-20 21:13:46.997415 INFO::Creating boxplot for categorical data, trimester vs s__Muribaculum_gordoncarteri
2023-12-20 21:13:47.068418 INFO::Creating boxplot for categorical data, trimester vs s__GGB27890_SGB40324
2023-12-20 21:13:47.130932 INFO::Creating boxplot for categorical data, trimester vs s__Turicimonas_muris
2023-12-20 21:13:47.193115 INFO::Creating boxplot for categorical data, trimester vs s__Parabacteroides_distasonis
2023-12-20 21:13:47.255456 INFO::Creating boxplot for categorical data, trimester vs s__GGB27791_SGB40207
2023-12-20 21:13:47.326469 INFO::Creating boxplot for categorical data, trimester vs s__Bacteroides_uniformis
2023-12-20 21:13:47.389073 INFO::Creating boxplot for categorical data, trimester vs s__GGB30448_SGB43504
2023-12-20 21:13:47.451809 INFO::Creating boxplot for categorical data, trimester vs s__Lachnospiraceae_bacterium
2023-12-20 21:13:47.520286 INFO::Creating boxplot for categorical data, trimester vs s__GGB28904_SGB41597
2023-12-20 21:13:47.583302 INFO::Creating boxplot for categorical data, trimester vs s__Muribaculaceae_bacterium_Isolate_110_HZI
2023-12-20 21:13:47.65459 INFO::Creating boxplot for categorical data, trimester vs s__GGB28836_SGB41496
2023-12-20 21:13:47.717093 INFO::Creating boxplot for categorical data, trimester vs s__GGB28265_SGB40817
2023-12-20 21:13:47.779865 INFO::Creating boxplot for categorical data, trimester vs s__GGB28980_SGB41692
2023-12-20 21:13:47.841806 INFO::Creating boxplot for categorical data, trimester vs s__GGB27851_SGB40285
2023-12-20 21:13:47.913132 INFO::Creating boxplot for categorical data, trimester vs s__Dorea_sp_5_2
2023-12-20 21:13:47.975914 INFO::Creating boxplot for categorical data, trimester vs s__Turicimonas_muris
2023-12-20 21:13:48.03856 INFO::Creating boxplot for categorical data, trimester vs s__GGB28929_SGB41629
2023-12-20 21:13:48.101732 INFO::Creating boxplot for categorical data, trimester vs s__GGB28929_SGB41629
2023-12-20 21:13:48.164731 INFO::Creating boxplot for categorical data, trimester vs s__GGB24102_SGB40205
2023-12-20 21:13:48.235624 INFO::Creating boxplot for categorical data, trimester vs s__GGB28870_SGB41549
2023-12-20 21:13:48.298152 INFO::Creating boxplot for categorical data, trimester vs s__GGB28766_SGB41417
2023-12-20 21:13:48.360457 INFO::Creating boxplot for categorical data, trimester vs s__GGB24149_SGB35953
2023-12-20 21:13:48.423202 INFO::Creating boxplot for categorical data, trimester vs s__GGB24102_SGB35895
2023-12-20 21:13:48.494606 INFO::Creating boxplot for categorical data, trimester vs s__GGB27861_SGB40295
2023-12-20 21:13:48.556362 INFO::Creating boxplot for categorical data, trimester vs s__Muribaculum_gordoncarteri
2023-12-20 21:13:48.619691 INFO::Creating boxplot for categorical data, trimester vs s__GGB30303_SGB43268
2023-12-20 21:13:48.6829 INFO::Creating boxplot for categorical data, trimester vs s__GGB30048_SGB42949
2023-12-20 21:13:48.745901 INFO::Creating boxplot for categorical data, trimester vs s__GGB28955_SGB41663
2023-12-20 21:13:48.817171 INFO::Creating boxplot for categorical data, trimester vs s__GGB27851_SGB40285
2023-12-20 21:13:48.880556 INFO::Creating boxplot for categorical data, trimester vs s__Schaedlerella_arabinosiphila
2023-12-20 21:13:48.943752 INFO::Creating boxplot for categorical data, trimester vs s__GGB24132_SGB35935
2023-12-20 21:13:49.006165 INFO::Creating boxplot for categorical data, trimester vs s__Lactobacillus_johnsonii
2023-12-20 21:13:49.077546 INFO::Creating boxplot for categorical data, trimester vs s__Emergencia_sp_1XD21_10
2023-12-20 21:13:49.139367 INFO::Creating boxplot for categorical data, trimester vs s__GGB28870_SGB41546
2023-12-20 21:13:49.202124 INFO::Creating boxplot for categorical data, trimester vs s__GGB28851_SGB41518
2023-12-20 21:13:49.268212 INFO::Creating boxplot for categorical data, trimester vs s__Lactobacillus_taiwanensis
2023-12-20 21:13:49.331795 INFO::Creating boxplot for categorical data, trimester vs s__GGB28903_SGB41594
2023-12-20 21:13:49.402715 INFO::Creating boxplot for categorical data, trimester vs s__GGB28948_SGB41654
2023-12-20 21:13:49.465764 INFO::Creating boxplot for categorical data, trimester vs s__Lactobacillus_intestinalis
2023-12-20 21:13:49.527731 INFO::Creating boxplot for categorical data, trimester vs s__GGB28956_SGB41665
2023-12-20 21:13:49.590058 INFO::Creating boxplot for categorical data, trimester vs s__bacterium_1XD42_76
2023-12-20 21:13:49.95363 INFO::Creating boxplot for categorical data, trimester vs s__bacterium_0_1xD8_82
2023-12-20 21:13:50.014524 INFO::Creating boxplot for categorical data, trimester vs s__GGB31184_SGB44478
2023-12-20 21:13:50.076627 INFO::Creating boxplot for categorical data, trimester vs s__GGB28772_SGB41425
2023-12-20 21:13:50.141603 INFO::Creating boxplot for categorical data, trimester vs s__GGB28927_SGB41625
2023-12-20 21:13:50.206272 INFO::Creating boxplot for categorical data, trimester vs s__GGB29002_SGB41718
2023-12-20 21:13:50.276485 INFO::Creating boxplot for categorical data, trimester vs s__Clostridiaceae_bacterium
2023-12-20 21:13:50.339125 INFO::Creating boxplot for categorical data, trimester vs s__GGB31851_SGB45231
2023-12-20 21:13:50.406632 INFO::Creating boxplot for categorical data, trimester vs s__GGB28790_SGB41443
2023-12-20 21:13:50.469113 INFO::Creating boxplot for categorical data, trimester vs s__GGB28807_SGB41461
2023-12-20 21:13:50.531055 INFO::Creating boxplot for categorical data, trimester vs s__Bacteroides_uniformis
2023-12-20 21:13:50.600074 INFO::Creating boxplot for categorical data, trimester vs s__GGB28949_SGB41655
2023-12-20 21:13:50.662513 INFO::Creating boxplot for categorical data, trimester vs s__Acetatifactor_muris
2023-12-20 21:13:50.72586 INFO::Creating boxplot for categorical data, trimester vs s__bacterium_D16_63
2023-12-20 21:13:50.788485 INFO::Creating boxplot for categorical data, trimester vs s__Muribaculum_intestinale
2023-12-20 21:13:50.857438 INFO::Creating boxplot for categorical data, trimester vs s__GGB28989_SGB41702
2023-12-20 21:13:50.918745 INFO::Creating boxplot for categorical data, trimester vs s__Parabacteroides_goldsteinii
2023-12-20 21:13:50.981178 INFO::Creating boxplot for categorical data, trimester vs s__GGB28849_SGB41516
2023-12-20 21:13:51.04353 INFO::Creating boxplot for categorical data, trimester vs s__GGB28416_SGB40998
2023-12-20 21:13:51.10578 INFO::Creating boxplot for categorical data, trimester vs s__GGB29005_SGB41723
2023-12-20 21:13:51.174242 INFO::Creating boxplot for categorical data, trimester vs s__GGB29550_SGB42344
2023-12-20 21:13:51.236339 INFO::Creating boxplot for categorical data, trimester vs s__Bacteroides_acidifaciens
2023-12-20 21:13:51.29872 INFO::Creating boxplot for categorical data, trimester vs s__GGB29003_SGB41719
2023-12-20 21:13:51.360151 INFO::Creating boxplot for categorical data, trimester vs s__GGB30145_SGB43072
2023-12-20 21:13:51.422895 INFO::Creating boxplot for categorical data, trimester vs s__Rikenellaceae_bacterium
2023-12-20 21:13:51.493487 INFO::Creating boxplot for categorical data, trimester vs s__GGB28875_SGB41555
2023-12-20 21:13:51.556006 INFO::Creating boxplot for categorical data, trimester vs s__Lachnospiraceae_bacterium_MD308
2023-12-20 21:13:51.618268 INFO::Creating boxplot for categorical data, trimester vs s__GGB30408_SGB43438
2023-12-20 21:13:51.681739 INFO::Creating boxplot for categorical data, trimester vs s__GGB28893_SGB41574
2023-12-20 21:13:51.744373 INFO::Creating boxplot for categorical data, trimester vs s__GGB28934_SGB41635
2023-12-20 21:13:51.813407 INFO::Creating boxplot for categorical data, trimester vs s__GGB27890_SGB40324
2023-12-20 21:13:51.875354 INFO::Creating boxplot for categorical data, trimester vs s__GGB28881_SGB41561
2023-12-20 21:13:51.936552 INFO::Creating boxplot for categorical data, trimester vs s__bacterium_1XD42_76
2023-12-20 21:13:51.9988 INFO::Creating boxplot for categorical data, trimester vs s__GGB29550_SGB42344
2023-12-20 21:13:52.067414 INFO::Creating boxplot for categorical data, trimester vs s__GGB30466_SGB43546
2023-12-20 21:13:52.130535 INFO::Creating boxplot for categorical data, trimester vs s__GGB28431_SGB41014
2023-12-20 21:13:52.192255 INFO::Creating boxplot for categorical data, trimester vs s__GGB28769_SGB41421
2023-12-20 21:13:52.255238 INFO::Creating boxplot for categorical data, trimester vs s__Mucispirillum_schaedleri
2023-12-20 21:13:52.31773 INFO::Creating boxplot for categorical data, trimester vs s__GGB28888_SGB41569
2023-12-20 21:13:52.386116 INFO::Creating boxplot for categorical data, trimester vs s__GGB28428_SGB41011
2023-12-20 21:13:52.448173 INFO::Creating boxplot for categorical data, trimester vs s__GGB29531_SGB42317
2023-12-20 21:13:52.510135 INFO::Creating boxplot for categorical data, trimester vs s__GGB27893_SGB40327
2023-12-20 21:13:52.572452 INFO::Creating boxplot for categorical data, trimester vs s__GGB30301_SGB43265
2023-12-20 21:13:52.635484 INFO::Creating boxplot for categorical data, trimester vs s__GGB28963_SGB41672
2023-12-20 21:13:52.705833 INFO::Creating boxplot for categorical data, trimester vs s__GGB30142_SGB43067
2023-12-20 21:13:52.767758 INFO::Creating boxplot for categorical data, trimester vs s__GGB28330_SGB40904
2023-12-20 21:13:52.829881 INFO::Creating boxplot for categorical data, trimester vs s__GGB28394_SGB40974
2023-12-20 21:13:52.89303 INFO::Creating boxplot for categorical data, trimester vs s__GGB28926_SGB41623
2023-12-20 21:13:52.963591 INFO::Creating boxplot for categorical data, trimester vs s__GGB29003_SGB41719
2023-12-20 21:13:53.035136 INFO::Creating boxplot for categorical data, trimester vs s__GGB30475_SGB63182
2023-12-20 21:13:53.096703 INFO::Creating boxplot for categorical data, trimester vs s__GGB27791_SGB40207
2023-12-20 21:13:53.15938 INFO::Creating boxplot for categorical data, trimester vs s__GGB23844_SGB35575
2023-12-20 21:13:53.221952 INFO::Creating boxplot for categorical data, trimester vs s__bacterium_D16_76
2023-12-20 21:13:53.296931 INFO::Creating boxplot for categorical data, trimester vs s__GGB28793_SGB41446
2023-12-20 21:13:53.360331 INFO::Creating boxplot for categorical data, trimester vs s__GGB28386_SGB40966
2023-12-20 21:13:53.422909 INFO::Creating boxplot for categorical data, trimester vs s__Bacteria_unclassified_SGB41586
2023-12-20 21:13:53.485162 INFO::Creating boxplot for categorical data, trimester vs s__GGB28945_SGB41650
2023-12-20 21:13:53.547669 INFO::Creating boxplot for categorical data, trimester vs s__GGB28945_SGB41650
2023-12-20 21:13:53.616975 INFO::Creating boxplot for categorical data, trimester vs s__Lachnospiraceae_bacterium_A2
2023-12-20 21:13:53.679392 INFO::Creating boxplot for categorical data, trimester vs s__Duncaniella_muris
2023-12-20 21:13:53.74183 INFO::Creating boxplot for categorical data, trimester vs s__GGB28879_SGB41559
2023-12-20 21:13:53.805111 INFO::Creating boxplot for categorical data, trimester vs s__GGB28968_SGB41679
2023-12-20 21:13:53.874948 INFO::Creating boxplot for categorical data, trimester vs s__GGB14022_SGB21449
2023-12-20 21:13:53.93651 INFO::Creating boxplot for categorical data, trimester vs s__GGB30457_SGB43523
2023-12-20 21:13:53.99905 INFO::Creating boxplot for categorical data, trimester vs s__GGB28428_SGB41011
2023-12-20 21:13:54.06117 INFO::Creating boxplot for categorical data, trimester vs s__GGB28869_SGB41543
2023-12-20 21:13:54.12398 INFO::Creating boxplot for categorical data, trimester vs s__GGB30667_SGB43809
2023-12-20 21:13:54.193588 INFO::Creating boxplot for categorical data, trimester vs s__GGB28948_SGB41654
2023-12-20 21:13:54.255983 INFO::Creating boxplot for categorical data, trimester vs s__GGB28887_SGB41568
2023-12-20 21:13:54.31877 INFO::Creating boxplot for categorical data, trimester vs s__GGB28422_SGB41005
2023-12-20 21:13:54.381158 INFO::Creating boxplot for categorical data, trimester vs s__Lachnospiraceae_bacterium_MD335
2023-12-20 21:13:54.451278 INFO::Creating boxplot for categorical data, trimester vs s__GGB28404_SGB40986
2023-12-20 21:13:54.513157 INFO::Creating boxplot for categorical data, trimester vs s__GGB31853_SGB45233
2023-12-20 21:13:54.575458 INFO::Creating boxplot for categorical data, trimester vs s__Turicibacter_sp_TS3
2023-12-20 21:13:54.638426 INFO::Creating boxplot for categorical data, trimester vs s__GGB31171_SGB44462
2023-12-20 21:13:54.701255 INFO::Creating boxplot for categorical data, trimester vs s__GGB28881_SGB41561
2023-12-20 21:13:54.769475 INFO::Creating boxplot for categorical data, trimester vs s__Clostridiales_bacterium
2023-12-20 21:13:54.831411 INFO::Creating boxplot for categorical data, trimester vs s__Bacteria_unclassified_SGB41586
2023-12-20 21:13:54.893247 INFO::Creating boxplot for categorical data, trimester vs s__bacterium_D16_54
2023-12-20 21:13:54.956228 INFO::Creating boxplot for categorical data, trimester vs s__Firmicutes_bacterium_ASF500
2023-12-20 21:13:55.026868 INFO::Creating boxplot for categorical data, trimester vs s__GGB28904_SGB41597
2023-12-20 21:13:55.088996 INFO::Creating boxplot for categorical data, trimester vs s__Muribaculaceae_bacterium
2023-12-20 21:13:55.150683 INFO::Creating boxplot for categorical data, trimester vs s__Duncaniella_dubosii
2023-12-20 21:13:55.213544 INFO::Creating boxplot for categorical data, trimester vs s__GGB27885_SGB40319
2023-12-20 21:13:55.276673 INFO::Creating boxplot for categorical data, trimester vs s__GGB28416_SGB40998
2023-12-20 21:13:55.345831 INFO::Creating boxplot for categorical data, trimester vs s__Clostridiaceae_unclassified_SGB41645
2023-12-20 21:13:55.407561 INFO::Creating boxplot for categorical data, trimester vs s__Anaerotruncus_colihominis
2023-12-20 21:13:55.469709 INFO::Creating boxplot for categorical data, trimester vs s__Atopobiaceae_bacterium_FL090493
2023-12-20 21:13:55.532803 INFO::Creating boxplot for categorical data, trimester vs s__Lachnospiraceae_unclassified_SGB41498
2023-12-20 21:13:55.60338 INFO::Creating boxplot for categorical data, trimester vs s__GGB28308_SGB40878
2023-12-20 21:13:55.673931 INFO::Creating boxplot for categorical data, trimester vs s__Clostridiaceae_unclassified_SGB41645
2023-12-20 21:13:55.73641 INFO::Creating boxplot for categorical data, trimester vs s__Duncaniella_freteri
2023-12-20 21:13:55.798839 INFO::Creating boxplot for categorical data, trimester vs s__Schaedlerella_arabinosiphila
2023-12-20 21:13:55.863077 INFO::Creating boxplot for categorical data, trimester vs s__Candidatus_Arthromitus_sp_SFB_mouse
2023-12-20 21:13:55.932671 INFO::Creating boxplot for categorical data, trimester vs s__GGB42343_SGB59511
2023-12-20 21:13:55.994234 INFO::Creating boxplot for categorical data, trimester vs s__Emergencia_sp_1XD21_10
2023-12-20 21:13:56.055454 INFO::Creating boxplot for categorical data, trimester vs s__GGB3171_SGB4185
2023-12-20 21:13:56.118118 INFO::Creating boxplot for categorical data, trimester vs s__Alistipes_sp
2023-12-20 21:13:56.211355 INFO::Creating boxplot for categorical data, trimester vs s__GGB28916_SGB41612
2023-12-20 21:13:56.274926 INFO::Creating boxplot for categorical data, trimester vs s__GGB31701_SGB45057
2023-12-20 21:13:56.338443 INFO::Creating boxplot for categorical data, trimester vs s__GGB30297_SGB43261
2023-12-20 21:13:56.400751 INFO::Creating boxplot for categorical data, trimester vs s__GGB28846_SGB41513
2023-12-20 21:13:56.463259 INFO::Creating boxplot for categorical data, trimester vs s__GGB30297_SGB43261
2023-12-20 21:13:56.536756 INFO::Creating boxplot for categorical data, trimester vs s__GGB28968_SGB41679
2023-12-20 21:13:56.599171 INFO::Creating boxplot for categorical data, trimester vs s__GGB28903_SGB41594
2023-12-20 21:13:56.662486 INFO::Creating boxplot for categorical data, trimester vs s__GGB28807_SGB41461
2023-12-20 21:13:56.724951 INFO::Creating boxplot for categorical data, trimester vs s__GGB28934_SGB41635
2023-12-20 21:13:56.787422 INFO::Creating boxplot for categorical data, trimester vs s__GGB27778_SGB40192
2023-12-20 21:13:56.861395 INFO::Creating boxplot for categorical data, trimester vs s__GGB30093_SGB43006
2023-12-20 21:13:56.924186 INFO::Creating boxplot for categorical data, trimester vs s__bacterium_1xD8_48
2023-12-20 21:13:56.986642 INFO::Creating boxplot for categorical data, trimester vs s__Odoribacter_sp_Z80
2023-12-20 21:13:57.047853 INFO::Creating boxplot for categorical data, trimester vs s__GGB27893_SGB40327
2023-12-20 21:13:57.109968 INFO::Creating boxplot for categorical data, trimester vs s__Alistipes_sp
2023-12-20 21:13:57.18399 INFO::Creating boxplot for categorical data, trimester vs s__Paramuribaculum_intestinale
2023-12-20 21:13:57.246883 INFO::Creating boxplot for categorical data, trimester vs s__GGB42343_SGB59511
2023-12-20 21:13:57.309818 INFO::Creating boxplot for categorical data, trimester vs s__GGB28836_SGB41496
2023-12-20 21:13:57.371987 INFO::Creating boxplot for categorical data, trimester vs s__Dorea_sp_5_2
2023-12-20 21:13:57.442441 INFO::Creating boxplot for categorical data, trimester vs s__GGB27873_SGB40307
2023-12-20 21:13:57.509654 INFO::Creating boxplot for categorical data, trimester vs s__GGB29006_SGB41725
2023-12-20 21:13:57.573095 INFO::Creating boxplot for categorical data, trimester vs s__GGB28841_SGB41505
2023-12-20 21:13:57.636438 INFO::Creating boxplot for categorical data, trimester vs s__GGB30295_SGB43259
2023-12-20 21:13:57.699811 INFO::Creating boxplot for categorical data, trimester vs s__Bacteroides_caecimuris
2023-12-20 21:13:57.77423 INFO::Creating boxplot for categorical data, trimester vs s__bacterium_1XD42_1
2023-12-20 21:13:57.838123 INFO::Creating boxplot for categorical data, trimester vs s__GGB28870_SGB41546
2023-12-20 21:13:57.901009 INFO::Creating boxplot for categorical data, trimester vs s__GGB42344_SGB59512
2023-12-20 21:13:57.963558 INFO::Creating boxplot for categorical data, trimester vs s__GGB30286_SGB43248
2023-12-20 21:13:58.025903 INFO::Creating boxplot for categorical data, trimester vs s__GGB28779_SGB41432
2023-12-20 21:13:58.099057 INFO::Creating boxplot for categorical data, trimester vs s__GGB27792_SGB40208
2023-12-20 21:13:58.162231 INFO::Creating boxplot for categorical data, trimester vs s__GGB30466_SGB43541
2023-12-20 21:13:58.224758 INFO::Creating boxplot for categorical data, trimester vs s__GGB28437_SGB41020
2023-12-20 21:13:58.287754 INFO::Creating boxplot for categorical data, trimester vs s__Pseudoflavonifractor_sp_60
2023-12-20 21:13:58.358135 INFO::Creating boxplot for categorical data, trimester vs s__GGB30667_SGB43809
2023-12-20 21:13:58.432356 INFO::Creating boxplot for categorical data, trimester vs s__GGB27778_SGB40192
2023-12-20 21:13:58.495344 INFO::Creating boxplot for categorical data, trimester vs s__GGB31438_SGB44768
2023-12-20 21:13:58.558036 INFO::Creating boxplot for categorical data, trimester vs s__GGB30457_SGB43523
2023-12-20 21:13:58.620822 INFO::Creating boxplot for categorical data, trimester vs s__GGB27866_SGB40300
2023-12-20 21:13:58.69508 INFO::Creating boxplot for categorical data, trimester vs s__GGB30408_SGB43438
2023-12-20 21:13:58.758855 INFO::Creating boxplot for categorical data, trimester vs s__GGB28766_SGB41417
2023-12-20 21:13:58.821534 INFO::Creating boxplot for categorical data, trimester vs s__GGB28963_SGB41672
2023-12-20 21:13:58.884911 INFO::Creating boxplot for categorical data, trimester vs s__Lachnospiraceae_bacterium_A4
2023-12-20 21:13:58.947414 INFO::Creating boxplot for categorical data, trimester vs s__Parasutterella_excrementihominis
2023-12-20 21:13:59.02191 INFO::Creating boxplot for categorical data, trimester vs s__Bacteroidaceae_bacterium
2023-12-20 21:13:59.085244 INFO::Creating boxplot for categorical data, trimester vs s__Lachnospiraceae_bacterium_WCA_9_b2
2023-12-20 21:13:59.148024 INFO::Creating boxplot for categorical data, trimester vs s__Prevotella_sp_PCJ2
2023-12-20 21:13:59.210298 INFO::Creating boxplot for categorical data, trimester vs s__bacterium_1xD8_48
2023-12-20 21:13:59.273305 INFO::Creating boxplot for categorical data, trimester vs s__Acutalibacter_muris
2023-12-20 21:13:59.347909 INFO::Creating boxplot for categorical data, trimester vs s__GGB29006_SGB41724
2023-12-20 21:13:59.411111 INFO::Creating boxplot for categorical data, trimester vs s__GGB30091_SGB43003
2023-12-20 21:13:59.473824 INFO::Creating boxplot for categorical data, trimester vs s__GGB31438_SGB44768
2023-12-20 21:13:59.536544 INFO::Creating boxplot for categorical data, trimester vs s__GGB30461_SGB43530
2023-12-20 21:13:59.610859 INFO::Creating boxplot for categorical data, trimester vs s__GGB28422_SGB41005
2023-12-20 21:13:59.674714 INFO::Creating boxplot for categorical data, trimester vs s__GGB28798_SGB41451
2023-12-20 21:13:59.73755 INFO::Creating boxplot for categorical data, trimester vs s__GGB28317_SGB40889
2023-12-20 21:13:59.800268 INFO::Creating boxplot for categorical data, trimester vs s__bacterium_D16_54
2023-12-20 21:13:59.864518 INFO::Creating boxplot for categorical data, trimester vs s__GGB28803_SGB41457
2023-12-20 21:13:59.94014 INFO::Creating boxplot for categorical data, trimester vs s__GGB14022_SGB21449
2023-12-20 21:14:00.002377 INFO::Creating boxplot for categorical data, trimester vs s__Clostridiaceae_bacterium
2023-12-20 21:14:00.065639 INFO::Creating boxplot for categorical data, trimester vs s__GGB30454_SGB43516
2023-12-20 21:14:00.128897 INFO::Creating boxplot for categorical data, trimester vs s__GGB30091_SGB43003
2023-12-20 21:14:00.203324 INFO::Creating boxplot for categorical data, trimester vs s__Lachnospiraceae_bacterium
2023-12-20 21:14:00.267383 INFO::Creating boxplot for categorical data, trimester vs s__GGB28310_SGB40880
2023-12-20 21:14:00.33002 INFO::Creating boxplot for categorical data, trimester vs s__GGB31851_SGB45231
2023-12-20 21:14:00.392675 INFO::Creating boxplot for categorical data, trimester vs s__Romboutsia_ilealis
2023-12-20 21:14:00.455863 INFO::Creating boxplot for categorical data, trimester vs s__GGB28248_SGB40791
2023-12-20 21:14:00.530882 INFO::Creating boxplot for categorical data, trimester vs s__GGB28955_SGB41664
2023-12-20 21:14:00.594158 INFO::Creating boxplot for categorical data, trimester vs s__GGB31701_SGB45057
2023-12-20 21:14:00.656755 INFO::Creating boxplot for categorical data, trimester vs s__GGB28386_SGB40966
2023-12-20 21:14:00.719525 INFO::Creating boxplot for categorical data, trimester vs s__GGB28790_SGB41443
2023-12-20 21:14:00.794049 INFO::Creating boxplot for categorical data, trimester vs s__GGB28887_SGB41568
2023-12-20 21:14:00.85924 INFO::Creating boxplot for categorical data, trimester vs s__GGB30302_SGB43266
2023-12-20 21:14:00.922058 INFO::Creating boxplot for categorical data, trimester vs s__Neglecta_sp_X4
2023-12-20 21:14:00.984393 INFO::Creating boxplot for categorical data, trimester vs s__GGB28394_SGB40974
2023-12-20 21:14:01.055363 INFO::Creating boxplot for categorical data, trimester vs s__Duncaniella_dubosii
2023-12-20 21:14:01.130263 INFO::Creating boxplot for categorical data, trimester vs s__GGB30142_SGB43067
2023-12-20 21:14:01.194041 INFO::Creating boxplot for categorical data, trimester vs s__GGB28846_SGB41513
2023-12-20 21:14:01.256626 INFO::Creating boxplot for categorical data, trimester vs s__GGB28772_SGB41425
2023-12-20 21:14:01.319164 INFO::Creating boxplot for categorical data, trimester vs s__GGB30451_SGB43508
2023-12-20 21:14:01.394031 INFO::Creating boxplot for categorical data, trimester vs s__Acutalibacter_muris
2023-12-20 21:14:01.457765 INFO::Creating boxplot for categorical data, trimester vs s__GGB28959_SGB41668
2023-12-20 21:14:01.519411 INFO::Creating boxplot for categorical data, trimester vs s__GGB28875_SGB41555
2023-12-20 21:14:01.581978 INFO::Creating boxplot for categorical data, trimester vs s__GGB30461_SGB63209
2023-12-20 21:14:01.645363 INFO::Creating boxplot for categorical data, trimester vs s__GGB29546_SGB42338
2023-12-20 21:14:01.723094 INFO::Creating boxplot for categorical data, trimester vs s__GGB28926_SGB41623
2023-12-20 21:14:01.786571 INFO::Creating boxplot for categorical data, trimester vs s__GGB30466_SGB43541
2023-12-20 21:14:01.8496 INFO::Creating boxplot for categorical data, trimester vs s__GGB28959_SGB41668
2023-12-20 21:14:01.912075 INFO::Creating boxplot for categorical data, trimester vs s__Muribaculum_intestinale
2023-12-20 21:14:01.986753 INFO::Creating boxplot for categorical data, trimester vs s__GGB29006_SGB41724
2023-12-20 21:14:02.050517 INFO::Creating boxplot for categorical data, trimester vs s__GGB28384_SGB40964
2023-12-20 21:14:02.112605 INFO::Creating boxplot for categorical data, trimester vs s__GGB28393_SGB40973
2023-12-20 21:14:02.175523 INFO::Creating boxplot for categorical data, trimester vs s__GGB28949_SGB41655
2023-12-20 21:14:02.239441 INFO::Creating boxplot for categorical data, trimester vs s__Lachnospiraceae_bacterium_MD335
